"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626884390000,7,11,7,11,7,11,7,11,0,0,0,0
1626884395000,7,11,7,11,7,11,7,11,0,0,0,0
1626884400000,7,11,7,11,7,11,7,11,0,0,0,0
1626884405000,274,11,274,11,274,11,7,11,0,0,0,0
1626884410000,5394,11,5394,11,5394,11,7,11,0,0,0,0
1626884415000,5394,11,5394,11,5394,11,7,11,0,0,0,0
1626884420000,5394,11,5394,11,5394,11,7,11,0,0,0,0
1626884425000,5394,11,5394,11,5394,11,7,11,0,0,0,0
1626884430000,5394,11,5394,11,5394,11,7,11,0,0,0,0
1626884435000,5394,11,5394,11,5394,11,7,11,0,0,0,0
1626884440000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884445000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884450000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884455000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884460000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884465000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884470000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884475000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884480000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884485000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884490000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884495000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884500000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884505000,9678,11,9678,11,9678,11,7,11,0,0,0,0
1626884510000,9678,11,9678,11,7,11,7,11,0,0,0,0
1626884515000,9678,11,7,11,7,11,7,11,0,0,0,0
1626884520000,9678,11,7,11,7,11,7,11,0,0,0,0
1626884525000,9678,11,7,11,7,11,7,11,0,0,0,0
1626884530000,9678,11,7,790,7,11,7,11,2,2,0,0
1626884535000,9678,406,276,8656,272,11,338,11,5387,5387,299,0
1626884540000,9678,534,8652,8656,8652,11,8652,11,5387,5387,523,0
1626884545000,7,534,8652,8656,8652,11,8652,11,5387,5387,523,0
1626884550000,274,534,8652,8656,8652,11,8652,11,5387,5387,523,0
1626884555000,5394,8656,8652,8656,8652,11,8652,11,5387,5387,523,0
1626884560000,5394,8656,8652,8656,8652,11,8652,11,5387,5387,8645,0
1626884565000,5394,8656,8652,8656,8652,11,8652,11,5551,9671,8645,0
1626884570000,5394,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884575000,5394,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884580000,5394,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884585000,9678,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884590000,9678,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884595000,9678,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884600000,9678,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884605000,9678,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884610000,9678,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884615000,9678,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884620000,9678,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884625000,9678,8656,8652,8656,8652,11,8652,11,9671,9671,8645,0
1626884630000,9678,8656,8652,8656,7,11,7,11,9671,9671,8645,0
1626884635000,9678,11,7,8656,7,11,7,11,9671,0,0,0
1626884640000,9678,11,7,8656,7,11,7,11,9671,0,0,0
1626884645000,9678,11,7,8656,7,11,7,11,9671,0,0,0
1626884650000,9678,13,17,8656,17,11,7,13,9671,0,0,0
1626884655000,9678,790,530,8656,530,11,7,800,9671,0,0,299
1626884660000,9678,8656,530,8656,530,11,7,8656,9671,0,299,395
1626884665000,9678,8656,530,8656,530,11,7,8656,0,0,299,561
1626884670000,9678,8656,530,8656,530,11,306,8656,267,191,395,8647
1626884675000,9678,8656,8652,8656,8652,11,530,8656,5387,5387,2387,8647
1626884680000,9678,8656,8652,8656,8652,11,530,8656,5387,5387,8647,8647
1626884685000,9678,8656,8652,8656,8652,11,530,8656,5387,5387,8647,8647
1626884690000,9678,8656,8652,8656,8652,11,530,8656,5387,5387,8647,8647
