"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626855905000,7,11,7,11,7,11,7,11,0,0,0,0
1626855910000,7,11,7,11,7,11,7,11,0,0,0,0
1626855915000,7,11,7,11,7,11,7,11,0,0,0,0
1626855920000,9,11,9,11,7,11,9,11,0,0,0,0
1626855925000,5394,11,5394,11,7,11,5394,11,0,0,0,0
1626855930000,5394,11,5394,11,7,11,5394,11,0,0,0,0
1626855935000,5394,11,5394,11,7,11,5394,11,0,0,0,0
1626855940000,5394,11,5394,11,7,11,5394,11,0,0,0,0
1626855945000,5394,11,5394,11,7,11,5394,11,0,0,0,0
1626855950000,5394,11,5394,11,7,11,5394,11,0,0,0,0
1626855955000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626855960000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626855965000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626855970000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626855975000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626855980000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626855985000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626855990000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626855995000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626856000000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626856005000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626856010000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626856015000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626856020000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626856025000,9678,11,9678,11,7,11,9678,11,0,0,0,0
1626856030000,7,11,9678,11,172,11,9678,11,0,0,0,0
1626856035000,7,11,9678,11,5394,11,9678,11,0,0,0,0
1626856040000,7,11,9678,11,5394,11,9678,11,0,0,0,0
1626856045000,232,274,9678,11,5394,11,9678,276,0,0,0,2
1626856050000,8652,534,9678,11,5394,11,9678,534,5387,0,5387,779
1626856055000,8652,534,9678,11,5394,11,9678,534,5387,0,5387,8645
1626856060000,8652,534,9678,11,5394,11,9678,534,5387,0,5387,8645
1626856065000,8652,534,9678,11,9678,11,9678,534,5387,0,5387,8645
1626856070000,8652,8656,9678,11,9678,11,9678,8656,5387,0,5387,8645
1626856075000,8652,8656,9678,11,9678,11,9678,8656,5387,0,5387,8645
1626856080000,8652,8656,9678,11,9678,11,9678,8656,5543,0,9671,8645
1626856085000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856090000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856095000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856100000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856105000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856110000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856115000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856120000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856125000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856130000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856135000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856140000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856145000,8652,8656,9678,11,9678,11,9678,8656,9671,0,9671,8645
1626856150000,7,8656,9678,11,7,11,9678,8656,0,0,0,0
1626856155000,7,8656,9678,11,7,11,9678,8656,0,0,0,0
1626856160000,9,8656,9678,11,7,11,9678,8656,0,0,0,0
1626856165000,5394,8656,9678,13,7,13,9678,8656,0,0,0,175
1626856170000,5394,8656,9678,11,7,11,9678,8656,0,0,0,8645
1626856175000,5394,8656,9678,11,7,11,9678,8656,299,0,0,8645
1626856180000,5394,8656,9678,21,7,21,9678,8656,299,0,2,8645
1626856185000,5394,8656,9678,5398,306,5398,9678,8656,395,0,523,8645
1626856190000,5394,8656,9678,5398,306,5398,9678,8656,8647,0,523,8645
1626856195000,9678,8656,9678,5398,402,5398,9678,8656,8647,0,523,8645
1626856200000,9678,8656,9678,5398,1378,5398,9678,8656,8647,0,523,8645
1626856205000,9678,8656,9678,5398,8654,5398,9678,8656,8647,779,8645,8645
1626856210000,9678,8656,9678,5398,8654,5398,9678,8656,8647,8645,8645,8645
1626856215000,9678,8656,9678,9682,8654,5586,9678,8656,8647,8645,8645,8645
1626856220000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856225000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856230000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856235000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856240000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856245000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856250000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856255000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856260000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856265000,9678,8656,9678,9682,8654,9682,9678,8656,8647,8645,8645,8645
1626856270000,7,11,9678,9682,8654,11,7,8656,0,0,0,8645
1626856275000,7,11,9678,9682,8654,11,7,8656,0,0,0,8645
1626856280000,7,11,9678,9682,8654,11,7,8656,0,0,0,8645
1626856285000,306,11,9678,9682,8654,11,7,8656,0,5387,0,8645
1626856290000,402,310,9678,9682,8654,406,9,8656,0,5387,0,8645
1626856295000,402,406,9678,9682,8654,534,816,8656,0,5387,0,8645
1626856300000,8654,406,9678,9682,8654,534,8652,8656,151,5387,5387,8645
1626856305000,8654,8658,9678,9682,8654,534,8652,8656,2501,5387,5387,8645
1626856310000,8654,8658,9678,9682,8654,1488,8652,8656,8645,5387,5387,8645
1626856315000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,5387,8645
1626856320000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,5387,8645
1626856325000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,5387,8645
1626856330000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,5575,8645
1626856335000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856340000,8654,8658,9678,11,8654,8656,8652,8656,8645,9671,9671,8645
1626856345000,8654,8658,9678,11,8654,8656,8652,11,8645,9671,9671,8645
1626856350000,8654,8658,9678,11,8654,8656,8652,342,8645,9671,9671,8645
1626856355000,8654,8658,9678,11,8654,8656,8652,534,8645,9671,9671,8645
1626856360000,8654,8658,9678,13,8654,8656,8652,534,8645,9671,9671,8645
1626856365000,8654,8658,9678,5398,8654,8656,8652,534,8645,9671,9671,8645
1626856370000,8654,8658,9678,5398,8654,8656,8652,976,8645,9671,9671,8645
1626856375000,8654,8658,9678,5398,8654,8656,8652,8656,8645,9671,9671,8645
1626856380000,8654,8658,9678,5398,8654,8656,8652,8656,8645,9671,9671,8645
1626856385000,8654,8658,9678,5398,8654,8656,8652,8656,8645,9671,9671,8645
1626856390000,8654,8658,9678,5398,8654,8656,8652,8656,8645,9671,9671,8645
1626856395000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856400000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856405000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856410000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856415000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856420000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856425000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856430000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856435000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856440000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856445000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856450000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856455000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856460000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856465000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856470000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856475000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856480000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856485000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856490000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856495000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856500000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856505000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856510000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856515000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856520000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856525000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856530000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856535000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856540000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856545000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856550000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856555000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856560000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856565000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856570000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856575000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856580000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856585000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856590000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856595000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856600000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
1626856605000,8654,8658,9678,9682,8654,8656,8652,8656,8645,9671,9671,8645
