"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626863700000,7,11,7,11,7,11,7,11,0,0,0,0
1626863705000,7,11,7,11,7,11,7,11,0,0,0,0
1626863710000,7,11,7,11,7,11,7,11,0,0,0,0
1626863715000,7,11,7,11,7,11,7,11,231,235,239,233
1626863720000,7,11,7,11,7,11,7,11,5387,5387,5387,5387
1626863725000,7,11,7,11,7,11,7,11,5387,5387,5387,5387
1626863730000,7,11,7,11,7,11,7,11,5387,5387,5387,5387
1626863735000,7,11,7,11,7,11,7,11,5387,5387,5387,5387
1626863740000,7,11,7,11,7,11,7,11,5387,5387,5387,5387
1626863745000,7,11,7,11,7,11,7,11,5387,5387,5387,5387
1626863750000,7,11,7,11,7,11,7,11,5425,9671,5387,9671
1626863755000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863760000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863765000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863770000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863775000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863780000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863785000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863790000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863795000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863800000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863805000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863810000,7,11,7,11,7,11,7,11,9671,9671,9671,9671
1626863815000,7,11,7,11,7,11,7,11,9671,0,9671,9671
1626863820000,7,11,7,11,7,11,7,11,9671,0,9671,9671
1626863825000,7,11,7,11,7,11,7,11,9671,0,9671,9671
1626863830000,7,11,7,11,7,11,7,11,9671,0,9671,9671
1626863835000,5394,790,5394,11,7,790,7,13,9671,0,9671,9671
1626863840000,5394,8656,5394,11,7,8656,7,534,9671,0,9671,9671
1626863845000,5394,8656,5394,11,7,8656,7,534,9671,0,9671,9671
1626863850000,5394,8656,5394,11,7,8656,7,534,9671,0,9671,9671
1626863855000,5394,8656,5394,11,7,8656,7,534,9671,0,9671,9671
1626863860000,5394,8656,5394,11,7,8656,7,8656,9671,0,9671,9671
1626863865000,9678,8656,9678,11,7,8656,7,8656,9671,0,9671,9671
1626863870000,9678,8656,9678,11,7,8656,7,8656,9671,0,9671,9671
1626863875000,9678,8656,9678,11,7,8656,7,8656,9671,0,9671,9671
1626863880000,9678,8656,9678,11,7,8656,7,8656,9671,0,9671,9671
1626863885000,9678,8656,9678,11,7,8656,7,8656,9671,0,9671,9671
1626863890000,9678,8656,9678,11,7,8656,7,8656,9671,0,9671,9671
1626863895000,9678,8656,9678,11,7,8656,7,8656,0,0,0,0
1626863900000,9678,8656,9678,11,7,8656,7,8656,5387,0,1291,5387
1626863905000,9678,8656,9678,11,7,8656,7,8656,5387,0,5387,5387
1626863910000,9678,8656,9678,11,7,8656,7,8656,5387,0,5387,5387
1626863915000,9678,8656,9678,11,7,8656,7,8656,5387,0,5387,5387
1626863920000,9678,8656,9678,11,7,8656,7,8656,5387,0,5387,5387
1626863925000,9678,8656,9678,11,7,8656,7,8656,5387,0,5387,5387
1626863930000,9678,8656,9678,11,7,8656,7,8656,5429,0,5433,5387
1626863935000,9678,,9678,,7,,7,,9671,0,9671,0
1626863940000,9678,8656,9678,11,7,8656,7,11,0,0,0,0
1626863945000,9678,8656,9678,11,9,8656,7,11,0,0,0,0
1626863950000,9678,8656,9678,11,1484,8656,7,11,0,0,0,0
1626863955000,9678,8656,9678,13,8652,8656,7,13,137,0,137,0
1626863960000,9678,8656,9678,310,8652,8656,7,310,5387,0,5387,271
1626863965000,9678,8656,9678,406,8652,8656,7,406,5387,0,5387,523
1626863970000,9678,8656,9678,406,8652,8656,7,406,5387,0,5387,523
1626863975000,9678,8656,9678,8658,8652,8656,7,8658,5387,0,5387,523
1626863980000,9678,8656,9678,8658,8652,8656,7,8658,5387,0,5387,8645
1626863985000,9678,8656,9678,8658,8652,8656,7,8658,5387,0,5387,8645
1626863990000,9678,8656,9678,8658,8652,8656,7,8658,5575,0,5449,8645
1626863995000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864000000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864005000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864010000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864015000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864020000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864025000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864030000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864035000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864040000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864045000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864050000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864055000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864060000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864065000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864070000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864075000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864080000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864085000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864090000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864095000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864100000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864105000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864110000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864115000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864120000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864125000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864130000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864135000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864140000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864145000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864150000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864155000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864160000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864165000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864170000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864175000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864180000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864185000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864190000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864195000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864200000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864205000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864210000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864215000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864220000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864225000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864230000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864235000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864240000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864245000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864250000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864255000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864260000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864265000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864270000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864275000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864280000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864285000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864290000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864295000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864300000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864305000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864310000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864315000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864320000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864325000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864330000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864335000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864340000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864345000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864350000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864355000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864360000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864365000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864370000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864375000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864380000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864385000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864390000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864395000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864400000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864405000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864410000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864415000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864420000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
1626864425000,9678,8656,9678,8658,8652,8656,7,8658,9671,0,9671,8645
