"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626876320000,7,11,7,11,7,11,7,11,0,0,0,0
1626876325000,7,11,7,11,7,11,7,11,0,0,0,0
1626876330000,7,11,7,11,7,11,7,11,0,0,0,0
1626876335000,7,11,7,11,7,11,7,11,0,0,0,0
1626876340000,7,11,7,11,7,11,7,11,0,0,0,0
1626876345000,7,11,7,11,7,11,7,11,0,0,0,0
1626876350000,7,11,7,11,7,11,7,11,0,0,0,0
1626876355000,176,11,7,11,174,11,188,11,0,0,0,0
1626876360000,5394,11,7,11,5394,11,5394,11,0,0,0,0
1626876365000,5394,11,7,11,5394,11,5394,11,0,0,0,0
1626876370000,5394,11,7,11,5394,11,5394,11,0,0,0,0
1626876375000,5394,11,7,11,5394,11,5394,11,0,0,0,0
1626876380000,5394,11,7,11,5394,11,5394,11,0,0,0,0
1626876385000,5394,11,7,11,5394,11,5394,11,0,0,0,0
1626876390000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876395000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876400000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876405000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876410000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876415000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876420000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876425000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876430000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876435000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876440000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876445000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876450000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876455000,9678,11,7,11,9678,11,9678,11,0,0,0,0
1626876460000,9678,11,7,11,7,11,9678,11,0,0,0,0
1626876465000,9678,11,5394,11,7,11,9678,11,0,0,0,0
1626876470000,9678,11,5394,11,7,11,9678,11,0,0,0,0
1626876475000,9678,148,5394,11,7,21,9678,11,523,523,0,0
1626876480000,9678,5398,5394,11,7,5398,9678,11,523,523,779,0
1626876485000,9678,5398,5394,11,7,5398,9678,11,523,523,8645,0
1626876490000,9678,5398,5394,11,7,5398,9678,11,523,523,8645,0
1626876495000,9678,5398,9678,11,7,5398,9678,11,8645,8645,8645,0
1626876500000,9678,5398,9678,11,7,5398,9678,11,8645,8645,8645,0
1626876505000,9678,9682,9678,11,7,5488,9678,11,8645,8645,8645,0
1626876510000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876515000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876520000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876525000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876530000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876535000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876540000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876545000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876550000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876555000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876560000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876565000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876570000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876575000,9678,9682,9678,11,7,9682,9678,11,8645,8645,8645,0
1626876580000,,9682,,11,,9682,,11,0,0,8645,0
1626876585000,9678,9682,7,11,7,9682,7,11,0,0,8645,0
1626876590000,9678,9682,7,11,306,9682,7,11,0,0,8645,0
1626876595000,9678,9682,7,11,402,9682,7,11,0,0,8645,0
1626876600000,9678,9682,7,11,568,9682,9,11,299,267,8645,0
1626876605000,9678,9682,530,11,8654,9682,530,11,299,5387,8645,0
1626876610000,9678,9682,530,11,8654,9682,530,11,395,5387,8645,0
1626876615000,9678,9682,530,11,8654,9682,530,11,8647,5387,8645,0
1626876620000,9678,9682,530,11,8654,9682,530,11,8647,5387,8645,0
1626876625000,9678,9682,8652,11,8654,9682,8652,11,8647,5387,8645,0
1626876630000,9678,9682,8652,11,8654,9682,8652,11,8647,5387,8645,0
1626876635000,9678,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876640000,9678,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876645000,9678,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876650000,9678,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876655000,7,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876660000,9,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876665000,5394,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876670000,5394,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876675000,5394,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876680000,5394,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876685000,5394,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876690000,5394,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876695000,9678,9682,8652,11,8654,9682,8652,11,8647,9671,8645,0
1626876700000,9678,11,7,11,8654,11,7,11,8647,0,8645,0
1626876705000,9678,11,7,11,8654,11,7,11,8647,0,8645,0
1626876710000,9678,11,7,11,8654,11,7,11,8647,0,8645,0
1626876715000,9678,11,7,11,8654,11,7,11,8647,2,8645,0
1626876720000,9678,11,7,11,8654,11,7,11,8647,5387,8645,0
1626876725000,9678,310,7,11,8654,11,5394,13,8647,5387,8645,163
1626876730000,9678,406,7,11,8654,286,5394,534,8647,5387,8645,5387
1626876735000,9678,406,786,11,8654,534,5394,534,8647,5387,8645,5387
1626876740000,9678,8658,8652,11,8654,534,5394,534,8647,5387,8645,5387
1626876745000,9678,8658,8652,11,8654,534,5394,534,8647,5387,8645,5387
1626876750000,9678,8658,8652,11,8654,698,5394,8656,8647,5387,8645,5387
1626876755000,9678,8658,8652,11,8654,8656,5582,8656,8647,9671,8645,5387
1626876760000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,5575
1626876765000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876770000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876775000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876780000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876785000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876790000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876795000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876800000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876805000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876810000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876815000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876820000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876825000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876830000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876835000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876840000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
1626876845000,9678,8658,8652,11,8654,8656,9678,8656,8647,9671,8645,9671
