"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626884390000,0,0,0,0,0,0,0,0,0,0,0,0
1626884395000,0,0,0,0,0,0,0,0,0,0,0,0
1626884400000,0,0,0,0,0,0,0,0,0,0,0,0
1626884405000,3,0,0,0,0,0,0,0,0,0,0,0
1626884410000,0,0,0,0,2,0,0,0,0,0,0,0
1626884415000,0,0,0,0,0,0,0,0,0,0,0,0
1626884420000,0,0,0,0,0,0,0,0,0,0,0,0
1626884425000,0,0,0,0,0,0,0,0,0,0,0,0
1626884430000,0,0,0,0,0,0,0,0,0,0,0,0
1626884435000,0,0,0,0,0,0,0,0,0,0,0,0
1626884440000,0,0,3,0,0,0,0,0,0,0,0,0
1626884445000,38,0,63,0,53,0,0,0,0,0,0,0
1626884450000,13,0,24,0,71,0,0,0,0,0,0,0
1626884455000,17,0,23,0,85,0,0,0,0,0,0,0
1626884460000,5,0,0,0,0,0,0,0,0,0,0,0
1626884465000,97,0,50,0,48,0,0,0,0,0,0,0
1626884470000,22,0,38,0,54,0,0,0,0,0,0,0
1626884475000,19,0,55,0,45,0,0,0,0,0,0,0
1626884480000,35,0,63,0,1,0,0,0,0,0,0,0
1626884485000,0,0,49,0,55,0,0,0,0,0,0,0
1626884490000,43,0,28,0,76,0,0,0,0,0,0,0
1626884495000,77,0,43,0,47,0,0,0,0,0,0,0
1626884500000,73,0,60,0,84,0,0,0,0,0,0,0
1626884505000,55,0,59,0,61,0,0,0,0,0,0,0
1626884510000,0,0,0,0,100,0,0,0,0,0,0,0
1626884515000,0,0,0,0,0,0,0,0,0,0,0,0
1626884520000,0,0,0,0,0,0,0,0,0,0,0,0
1626884525000,0,0,0,0,0,0,0,0,0,0,0,0
1626884530000,0,0,0,0,0,0,0,0,0,0,0,0
1626884535000,0,0,3,34,3,0,3,0,12,12,0,0
1626884540000,0,0,97,36,98,0,94,0,0,0,0,0
1626884545000,0,0,98,30,92,0,98,0,0,0,0,0
1626884550000,0,0,94,30,99,0,98,0,0,0,0,0
1626884555000,11,89,98,42,89,0,94,0,0,0,0,0
1626884560000,0,100,96,55,95,0,86,0,0,0,100,0
1626884565000,0,100,98,49,80,0,93,0,3,0,100,0
1626884570000,0,100,88,38,61,0,81,0,31,18,100,0
1626884575000,0,100,66,48,85,0,95,0,68,45,100,0
1626884580000,0,95,86,60,68,0,60,0,23,86,100,0
1626884585000,90,94,83,31,56,0,78,0,29,1,100,0
1626884590000,0,100,98,36,73,0,93,0,0,25,96,0
1626884595000,1,97,98,61,89,0,84,0,60,54,100,0
1626884600000,0,95,60,49,77,0,79,0,18,14,100,0
1626884605000,59,94,95,51,95,0,64,0,0,0,100,0
1626884610000,8,92,96,28,92,0,53,0,72,70,99,0
1626884615000,67,100,63,43,80,0,61,0,0,0,100,0
1626884620000,24,100,79,36,77,0,94,0,56,21,100,0
1626884625000,55,100,0,38,34,0,41,0,0,41,100,0
1626884630000,0,100,0,53,0,0,75,0,0,0,83,0
1626884635000,66,0,0,52,0,0,0,0,0,0,0,0
1626884640000,15,0,0,33,0,0,0,0,0,0,0,0
1626884645000,0,0,0,51,0,0,0,0,0,0,0,0
1626884650000,42,0,0,49,0,0,0,0,0,0,0,0
1626884655000,67,0,0,34,0,0,0,0,0,0,0,0
1626884660000,0,46,0,45,0,0,0,67,0,0,0,0
1626884665000,0,46,0,38,0,0,0,67,0,0,0,0
1626884670000,80,80,0,30,0,0,0,40,2,4,0,58
1626884675000,0,75,0,38,0,0,0,65,0,0,2,85
1626884680000,0,71,56,31,56,0,0,58,0,0,82,89
1626884685000,61,81,85,43,70,0,0,55,0,0,77,86
1626884690000,17,72,83,26,54,0,0,57,0,0,99,99
1626884695000,4,76,72,0,46,0,0,45,0,0,86,99
1626884700000,42,77,77,4,21,80,36,50,0,0,84,99
1626884705000,0,79,87,0,71,0,35,49,95,2,85,83
1626884710000,0,69,76,0,50,0,60,59,79,0,97,98
1626884715000,67,61,68,0,53,0,40,50,0,26,89,99
1626884720000,16,66,76,0,54,0,35,43,90,34,96,98
1626884725000,11,74,71,0,50,0,2,44,29,48,99,0
1626884730000,0,72,75,0,68,0,35,48,0,43,99,99
1626884735000,5,82,87,0,65,0,49,60,46,21,95,89
1626884740000,0,83,69,0,70,0,44,61,2,55,99,95
1626884745000,57,53,67,0,57,0,43,74,28,60,99,99
1626884750000,22,0,33,0,0,47,55,50,67,14,94,84
1626884755000,0,0,0,30,0,0,43,0,0,0,88,86
1626884760000,0,0,0,34,0,0,57,0,0,0,99,83
1626884765000,0,0,0,30,0,0,40,0,0,0,99,88
1626884770000,0,0,0,44,0,0,35,0,0,0,87,89
1626884775000,0,0,0,41,0,0,35,0,2,0,88,86
1626884780000,0,0,16,43,0,0,88,0,0,2,95,98
1626884785000,31,0,0,30,3,0,49,0,0,1,99,95
1626884790000,51,0,0,49,98,0,35,30,0,55,91,86
1626884795000,31,0,0,0,100,0,35,31,0,51,96,99
1626884800000,30,0,0,0,80,0,35,35,0,31,78,99
1626884805000,31,35,0,0,97,97,35,31,93,52,90,85
1626884810000,51,59,0,0,86,53,35,31,5,48,89,97
1626884815000,31,46,0,0,92,44,53,12,64,31,89,99
1626884820000,53,35,60,0,99,49,58,55,12,31,99,99
1626884825000,31,56,10,0,85,34,35,31,7,31,82,98
1626884830000,33,2,69,0,99,40,35,30,68,39,99,99
1626884835000,89,38,15,92,98,34,85,36,21,31,90,100
1626884840000,31,35,69,33,97,51,35,31,34,31,99,97
1626884845000,40,51,13,30,94,50,54,31,68,31,85,95
1626884850000,59,35,0,44,99,34,57,31,19,30,96,99
1626884855000,31,49,37,49,99,34,49,41,0,41,95,98
1626884860000,44,35,5,30,89,35,42,47,49,53,89,98
1626884865000,48,35,0,39,99,86,62,43,0,32,88,88
1626884870000,31,40,3,40,100,44,47,30,29,46,97,99
1626884875000,0,37,0,46,98,45,0,0,0,42,86,0
1626884880000,0,56,0,30,99,49,0,0,0,52,89,0
1626884885000,0,3,0,47,99,49,0,0,0,31,83,0
1626884890000,0,35,0,46,99,34,0,0,0,38,99,0
1626884895000,0,41,0,22,90,0,0,0,0,87,99,0
1626884900000,0,35,0,30,100,36,0,0,3,37,90,2
1626884905000,0,58,0,33,99,58,49,0,59,31,89,0
1626884910000,2,40,0,29,84,48,31,0,31,31,96,0
1626884915000,54,44,0,43,99,52,48,51,34,31,100,14
1626884920000,50,39,86,35,99,52,40,54,49,45,90,98
1626884925000,55,36,68,30,98,34,45,48,31,31,100,81
1626884930000,47,57,65,40,99,37,31,45,30,38,89,87
1626884935000,48,35,100,40,99,34,31,35,31,31,85,81
1626884940000,34,36,87,54,90,34,53,87,31,33,88,85
1626884945000,34,35,86,30,81,34,44,41,31,37,87,84
1626884950000,43,54,76,38,83,83,39,35,38,84,82,99
1626884955000,36,59,84,52,89,50,53,34,30,55,99,99
1626884960000,34,54,87,40,96,34,48,49,83,35,99,86
1626884965000,49,49,83,30,89,46,31,49,46,48,98,98
1626884970000,84,88,82,30,87,36,44,34,45,49,96,99
1626884975000,30,40,96,30,86,34,31,34,31,32,100,97
1626884980000,59,43,99,51,83,34,41,46,46,47,97,99
1626884985000,34,35,93,38,98,34,46,54,31,52,99,85
1626884990000,34,55,99,30,90,47,36,47,46,31,91,87
1626884995000,36,0,0,49,0,55,51,0,0,44,0,0
1626885000000,66,0,0,30,0,55,45,0,0,43,0,0
1626885005000,57,0,0,46,0,37,51,0,0,33,0,0
1626885010000,34,0,0,31,0,38,87,0,0,30,0,0
1626885015000,52,0,0,30,0,34,35,0,0,49,0,0
1626885020000,34,0,0,30,3,37,31,31,2,37,0,0
1626885025000,83,0,0,47,0,45,31,48,51,37,0,0
1626885030000,54,0,51,8,0,43,31,47,36,6,0,0
1626885035000,34,0,30,52,0,8,31,31,30,51,0,0
1626885040000,53,99,38,38,0,34,50,31,30,31,36,0
1626885045000,57,99,31,32,0,34,39,31,35,46,42,95
1626885050000,55,98,33,30,57,40,56,31,47,43,34,84
1626885055000,63,99,53,48,49,34,28,42,40,52,34,90
1626885060000,40,100,55,50,35,39,44,31,46,31,45,99
1626885065000,53,99,55,47,48,48,1,31,31,39,57,98
1626885070000,45,98,30,30,28,58,31,31,38,32,57,100
1626885075000,56,90,34,30,38,39,49,38,5,45,36,99
1626885080000,15,92,44,30,42,38,31,43,31,32,34,89
1626885085000,58,99,31,6,47,34,53,31,46,0,54,98
1626885090000,41,86,52,36,60,50,34,31,31,31,52,99
1626885095000,44,95,30,38,46,54,31,31,45,31,51,0
1626885100000,41,99,34,35,52,52,36,31,41,43,44,82
1626885105000,52,89,30,30,35,53,31,31,30,31,38,88
1626885110000,59,90,81,30,50,57,43,31,39,41,45,90
1626885115000,34,0,0,0,0,35,0,43,29,0,54,0
1626885120000,34,0,0,0,0,85,0,30,34,0,53,0
1626885125000,34,0,0,0,0,34,0,36,36,0,26,0
1626885130000,37,0,3,0,0,48,0,45,59,0,34,0
1626885135000,34,0,45,0,0,34,0,43,38,0,34,0
1626885140000,45,0,35,0,0,51,0,34,52,0,37,0
1626885145000,34,0,52,3,0,52,0,32,54,6,34,0
1626885150000,59,0,60,31,0,2,0,52,43,32,34,0
1626885155000,50,5,36,32,0,65,0,31,30,32,37,0
1626885160000,87,31,31,29,0,34,0,53,30,31,34,0
1626885165000,34,51,31,31,95,37,0,32,53,32,34,0
1626885170000,57,31,46,31,35,41,0,47,31,57,34,5
1626885175000,34,17,35,0,50,34,0,31,56,47,52,44
1626885180000,53,31,31,44,53,43,35,31,30,32,34,43
1626885185000,56,31,89,47,38,36,56,42,45,31,60,34
1626885190000,52,57,48,31,41,38,52,31,30,44,34,35
1626885195000,44,55,51,40,35,43,35,53,48,31,52,58
1626885200000,54,34,40,30,40,47,55,49,31,78,52,55
1626885205000,40,62,49,41,42,17,86,31,38,49,34,45
1626885210000,48,31,50,36,53,34,37,6,0,32,0,43
1626885215000,2,32,57,50,35,34,35,42,40,31,53,34
1626885220000,35,54,43,42,35,42,35,58,31,36,42,58
1626885225000,44,31,48,36,34,39,54,38,30,51,34,35
1626885230000,55,31,49,44,34,54,41,37,43,31,66,1
1626885235000,54,50,41,31,57,60,35,46,44,39,60,50
1626885240000,45,39,0,37,26,54,35,31,45,43,49,53
1626885245000,34,32,60,43,44,34,54,47,31,40,41,56
1626885250000,53,50,33,31,41,50,35,31,43,35,55,48
1626885255000,34,49,50,56,88,35,47,39,47,48,45,45
1626885260000,50,31,39,49,35,88,53,55,37,31,34,46
1626885265000,62,53,31,38,42,34,48,0,40,31,41,52
1626885270000,54,42,47,44,48,47,57,48,31,31,34,44
1626885275000,57,48,36,44,35,51,44,31,52,54,36,44
1626885280000,38,40,31,31,34,47,35,51,50,63,53,48
1626885285000,51,53,46,31,2,45,35,35,32,44,53,87
