"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626855905000,0,0,0,0,0,0,0,0,0,0,0,0
1626855910000,0,0,0,0,0,0,0,0,0,0,0,0
1626855915000,0,0,0,0,0,0,0,0,0,0,0,0
1626855920000,0,0,0,0,0,0,0,0,0,0,0,0
1626855925000,19,0,6,0,0,0,11,0,0,0,0,0
1626855930000,0,0,0,0,0,0,0,0,0,0,0,0
1626855935000,0,0,0,0,0,0,0,0,0,0,0,0
1626855940000,0,0,0,0,0,0,0,0,0,0,0,0
1626855945000,0,0,0,0,0,0,0,0,0,0,0,0
1626855950000,0,0,0,0,0,0,0,0,0,0,0,0
1626855955000,84,0,22,0,0,0,83,0,0,0,0,0
1626855960000,24,0,66,0,0,0,75,0,0,0,0,0
1626855965000,74,0,56,0,0,0,54,0,0,0,0,0
1626855970000,74,0,51,0,0,0,55,0,0,0,0,0
1626855975000,4,0,4,0,0,0,0,0,0,0,0,0
1626855980000,35,0,6,0,0,0,12,0,0,0,0,0
1626855985000,78,0,56,0,0,0,56,0,0,0,0,0
1626855990000,89,0,73,0,0,0,59,0,0,0,0,0
1626855995000,58,0,63,0,0,0,0,0,0,0,0,0
1626856000000,38,0,53,0,0,0,61,0,0,0,0,0
1626856005000,73,0,60,0,0,0,20,0,0,0,0,0
1626856010000,53,0,51,0,0,0,75,0,0,0,0,0
1626856015000,4,0,34,0,0,0,2,0,0,0,0,0
1626856020000,0,0,2,0,0,0,0,0,0,0,0,0
1626856025000,0,0,63,0,0,0,19,0,0,0,0,0
1626856030000,0,0,0,0,4,0,0,0,0,0,0,0
1626856035000,0,0,0,0,0,0,0,0,0,0,0,0
1626856040000,0,0,0,0,0,0,0,0,0,0,0,0
1626856045000,4,4,0,0,0,0,0,4,0,0,0,0
1626856050000,98,0,0,0,0,0,0,0,12,0,12,0
1626856055000,30,0,0,0,0,0,0,0,0,0,0,38
1626856060000,31,0,0,0,0,0,0,0,0,0,0,46
1626856065000,31,0,0,0,0,0,0,0,0,0,0,34
1626856070000,31,0,70,0,80,0,70,0,0,0,0,52
1626856075000,31,86,56,0,29,0,86,42,0,0,0,31
1626856080000,48,46,65,0,0,0,62,59,4,0,96,41
1626856085000,52,58,0,0,48,0,23,62,0,0,8,37
1626856090000,51,79,53,0,7,0,54,45,63,0,8,36
1626856095000,31,61,0,0,0,0,0,77,13,0,24,40
1626856100000,54,63,52,0,59,0,52,57,91,0,24,54
1626856105000,2,87,61,0,2,0,25,68,48,0,61,31
1626856110000,45,64,54,0,59,0,56,80,70,0,74,31
1626856115000,45,62,35,0,67,0,74,90,51,0,66,40
1626856120000,50,77,63,0,54,0,26,50,58,0,77,38
1626856125000,33,65,1,0,24,0,0,76,50,0,71,41
1626856130000,31,88,13,0,58,0,72,63,0,0,0,48
1626856135000,36,43,56,0,7,0,35,83,68,0,56,40
1626856140000,31,73,27,0,6,0,28,54,55,0,74,45
1626856145000,49,53,34,0,17,0,39,65,53,0,9,31
1626856150000,0,65,44,0,0,0,42,82,0,0,0,0
1626856155000,0,58,0,0,0,0,0,59,0,0,0,0
1626856160000,0,54,70,0,0,0,88,78,0,0,0,0
1626856165000,11,43,0,0,0,0,10,72,0,0,0,3
1626856170000,0,85,3,0,0,0,12,60,0,0,0,45
1626856175000,0,51,0,0,0,0,56,76,1,0,0,61
1626856180000,0,93,58,0,0,0,74,71,0,0,0,31
1626856185000,0,84,70,0,0,0,73,68,0,0,0,52
1626856190000,0,88,4,0,0,0,1,55,20,0,0,49
1626856195000,97,64,19,0,0,0,21,40,99,0,0,54
1626856200000,0,56,47,0,17,0,25,45,99,0,0,53
1626856205000,67,64,43,0,83,0,48,40,81,0,0,31
1626856210000,28,74,81,0,85,0,38,80,89,7,55,47
1626856215000,9,57,48,93,99,3,0,89,85,40,49,33
1626856220000,67,80,65,0,85,0,73,55,90,31,34,49
1626856225000,58,57,29,54,88,74,45,79,90,31,48,50
1626856230000,55,64,0,31,89,0,1,85,87,31,35,44
1626856235000,0,50,83,63,89,52,67,65,99,31,53,31
1626856240000,0,62,48,92,86,50,0,37,89,51,50,34
1626856245000,0,54,55,52,91,73,12,68,89,52,45,47
1626856250000,67,71,44,36,82,62,7,85,95,49,34,52
1626856255000,0,81,0,64,85,75,11,47,80,35,34,31
1626856260000,0,64,72,6,96,0,64,85,95,42,84,32
1626856265000,14,77,0,69,98,84,32,64,68,6,49,48
1626856270000,0,0,0,1,88,0,0,48,0,0,0,40
1626856275000,0,0,0,14,88,0,0,49,0,0,0,44
1626856280000,0,0,0,0,99,0,0,35,0,0,0,51
1626856285000,0,0,0,32,90,0,0,34,0,18,0,31
1626856290000,0,0,0,67,89,0,0,56,0,0,0,37
1626856295000,0,0,0,70,99,0,1,86,0,0,0,49
1626856300000,0,0,14,45,81,0,31,47,0,0,11,31
1626856305000,99,0,7,5,99,0,47,34,1,0,0,0
1626856310000,99,89,1,0,98,1,33,46,39,0,0,57
1626856315000,100,91,0,0,90,40,44,0,52,59,0,42
1626856320000,82,80,35,0,94,52,46,0,52,0,0,31
1626856325000,99,97,0,0,99,34,30,0,57,50,0,40
1626856330000,98,84,41,0,99,35,46,0,38,3,2,56
1626856335000,97,88,0,0,85,46,31,0,33,64,0,31
1626856340000,73,100,15,0,85,35,44,0,56,0,31,37
1626856345000,81,99,0,0,88,34,44,0,57,0,34,52
1626856350000,100,100,65,0,98,34,30,0,30,49,14,35
1626856355000,91,86,10,0,99,49,83,0,30,0,79,31
1626856360000,97,88,0,0,99,46,48,0,49,22,14,52
1626856365000,100,96,63,12,88,41,31,0,30,68,0,31
1626856370000,90,83,4,0,96,56,40,1,38,11,0,43
1626856375000,99,88,66,0,84,58,31,34,30,68,35,48
1626856380000,98,89,36,0,94,34,39,34,31,0,68,28
1626856385000,95,99,16,0,98,52,31,34,3,8,0,43
1626856390000,91,99,0,0,85,46,43,36,57,37,0,53
1626856395000,88,99,14,90,86,34,43,53,35,83,0,43
1626856400000,99,99,38,68,87,44,31,41,40,40,64,38
1626856405000,99,99,52,68,89,52,35,34,43,0,0,33
1626856410000,87,99,15,0,89,34,47,35,62,5,1,5
1626856415000,69,89,32,14,100,45,31,36,39,36,8,39
1626856420000,98,82,46,69,100,46,31,56,31,0,41,31
1626856425000,99,96,53,58,99,53,31,47,34,0,0,31
1626856430000,99,85,66,5,99,46,48,39,48,3,0,42
1626856435000,85,93,59,27,99,50,36,34,31,63,16,54
1626856440000,99,99,66,0,96,34,81,40,38,27,60,31
1626856445000,95,89,0,0,89,37,31,40,37,68,62,44
1626856450000,99,83,0,0,80,53,45,53,55,0,53,43
1626856455000,85,82,63,0,84,34,31,52,31,69,3,34
1626856460000,88,98,32,0,99,44,31,53,53,31,18,31
1626856465000,100,89,18,22,100,57,31,34,53,0,60,44
1626856470000,90,89,6,0,88,34,31,34,31,86,62,33
1626856475000,95,100,19,30,99,34,41,34,41,0,57,39
1626856480000,98,0,56,21,99,42,31,34,50,0,11,31
1626856485000,99,84,33,68,100,0,31,1,36,30,42,52
1626856490000,93,100,0,0,85,48,40,52,47,9,84,6
1626856495000,100,99,0,61,56,49,35,42,45,26,61,35
1626856500000,100,99,24,0,99,35,48,46,56,59,0,38
1626856505000,98,87,19,52,88,58,31,38,35,0,44,38
1626856510000,90,89,52,57,99,43,43,46,31,17,0,50
1626856515000,84,89,50,0,95,51,31,47,88,68,0,31
1626856520000,70,88,20,0,100,34,31,36,40,52,9,32
1626856525000,87,83,14,69,100,59,42,46,31,26,59,31
1626856530000,83,85,26,62,88,37,45,42,35,6,68,31
1626856535000,95,100,66,0,99,44,35,42,47,0,67,54
1626856540000,99,97,66,49,98,35,50,1,52,0,11,35
1626856545000,89,82,0,37,84,37,31,34,44,6,48,31
1626856550000,88,86,0,60,99,56,31,55,36,21,28,43
1626856555000,83,89,39,25,96,34,0,51,31,0,3,31
1626856560000,84,85,66,68,95,35,45,34,40,51,58,37
1626856565000,87,99,41,0,88,40,31,54,56,47,38,56
1626856570000,82,99,0,22,89,2,36,53,41,20,68,32
1626856575000,87,83,16,0,88,42,31,34,40,0,50,42
1626856580000,98,87,66,0,99,34,50,47,38,24,25,39
1626856585000,88,87,0,66,98,57,31,63,33,18,44,39
1626856590000,88,99,66,69,85,48,31,34,54,27,45,31
1626856595000,40,100,0,0,99,35,34,3,31,0,37,35
1626856600000,95,95,0,0,98,39,31,34,42,1,34,35
1626856605000,88,100,54,5,99,34,31,34,41,21,68,33
1626856610000,89,100,12,0,94,43,49,48,46,45,0,43
1626856615000,82,100,1,60,96,36,31,45,31,63,28,42
1626856620000,91,100,50,0,83,46,39,47,0,82,47,59
1626856625000,99,74,54,66,99,34,34,34,57,0,44,51
1626856630000,84,86,31,0,99,34,31,57,38,68,50,41
1626856635000,99,82,65,0,90,60,40,34,38,39,0,46
1626856640000,99,86,30,15,99,36,34,34,32,0,5,50
1626856645000,89,85,46,69,99,50,40,52,33,59,0,42
1626856650000,95,82,66,29,99,34,31,54,33,0,66,50
1626856655000,87,99,22,41,99,0,30,35,39,0,68,43
1626856660000,86,96,0,0,98,37,33,59,31,69,68,56
1626856665000,99,99,0,68,99,59,34,45,50,37,0,33
1626856670000,98,98,54,68,99,58,0,47,62,13,9,31
1626856675000,99,88,18,68,96,55,31,44,31,53,0,45
1626856680000,99,93,66,45,100,34,51,56,31,50,2,59
1626856685000,99,88,43,15,99,44,54,34,48,0,0,31
1626856690000,90,86,0,69,82,42,31,41,31,49,67,44
1626856695000,99,86,45,40,89,34,43,35,31,85,2,31
1626856700000,89,99,26,0,99,59,44,34,49,0,0,34
1626856705000,83,99,52,39,94,34,31,64,31,0,44,48
1626856710000,96,89,16,21,94,84,31,34,30,53,48,31
1626856715000,99,85,12,84,98,60,30,51,38,0,11,31
1626856720000,87,94,23,19,100,35,44,47,39,68,24,31
1626856725000,83,99,0,64,89,55,31,43,20,38,0,34
1626856730000,99,100,57,0,99,53,38,87,31,49,58,59
1626856735000,99,99,19,69,94,34,31,41,37,64,68,45
1626856740000,99,82,1,69,89,34,31,34,31,0,0,53
1626856745000,98,81,47,47,99,34,37,48,56,33,0,31
1626856750000,85,85,2,33,99,34,33,41,50,69,10,53
1626856755000,94,80,28,18,85,54,53,34,38,26,0,59
1626856760000,87,86,1,52,86,58,28,59,34,19,42,31
1626856765000,85,99,0,69,84,86,31,34,43,62,0,31
1626856770000,6,90,17,0,99,47,44,47,31,82,0,57
1626856775000,99,83,0,0,100,35,37,42,31,0,0,38
1626856780000,90,95,66,51,90,58,32,42,47,68,14,53
1626856785000,89,99,18,0,99,50,31,1,35,0,25,39
1626856790000,89,98,28,6,0,39,31,39,31,33,0,40
1626856795000,87,99,25,0,85,42,39,54,31,54,28,39
1626856800000,89,89,39,68,95,48,31,34,32,69,68,31
1626856805000,94,89,49,11,96,34,31,34,57,13,8,48
1626856810000,99,88,82,52,81,34,49,45,40,0,9,32
1626856815000,98,82,11,20,99,50,41,34,30,0,68,31
1626856820000,99,89,2,0,99,41,51,43,40,58,37,37
1626856825000,96,100,22,24,100,45,31,45,56,0,0,32
1626856830000,88,80,66,14,84,34,55,34,0,69,1,43
1626856835000,85,41,22,55,99,48,31,36,42,43,6,86
1626856840000,99,81,48,56,90,55,88,35,36,0,0,47
1626856845000,99,86,2,68,99,42,31,39,31,87,53,31
1626856850000,89,84,36,0,97,42,49,34,31,61,26,58
1626856855000,89,85,0,0,99,46,31,48,31,0,0,40
1626856860000,84,97,3,62,89,56,36,58,43,32,68,50
1626856865000,85,88,66,69,100,34,29,52,58,62,0,31
1626856870000,98,89,65,85,89,37,31,34,31,32,14,54
1626856875000,88,89,16,68,84,51,50,36,36,0,25,31
1626856880000,99,87,10,49,98,52,56,34,32,55,38,31
1626856885000,96,100,0,60,99,46,31,27,31,69,10,31
1626856890000,89,100,0,59,99,40,37,35,44,16,46,35
1626856895000,98,97,41,43,98,54,42,34,40,16,0,49
1626856900000,99,98,0,43,83,46,54,34,45,69,0,40
1626856905000,90,99,30,66,84,59,31,58,58,10,51,39
1626856910000,99,100,44,42,95,35,48,34,44,34,28,35
1626856915000,87,87,0,6,99,36,34,34,50,52,68,27
1626856920000,86,99,0,48,99,48,31,66,58,84,62,31
1626856925000,99,99,66,0,100,34,87,39,50,69,1,47
1626856930000,99,91,1,1,84,34,29,38,31,5,34,53
1626856935000,82,99,66,24,81,45,46,64,2,55,44,36
1626856940000,99,86,0,0,89,43,30,50,33,38,24,21
1626856945000,97,89,65,0,99,34,56,40,33,0,0,39
1626856950000,83,84,45,25,88,50,34,34,37,20,79,41
1626856955000,85,96,30,16,90,34,38,40,43,58,44,32
1626856960000,87,88,21,0,88,52,31,54,50,40,6,56
1626856965000,81,99,45,68,90,34,35,39,50,0,0,32
1626856970000,93,94,0,55,96,35,31,48,52,30,0,31
1626856975000,89,98,61,63,100,34,42,15,60,68,55,31
1626856980000,98,100,64,33,99,58,53,40,55,0,5,51
1626856985000,98,100,39,0,99,48,34,34,57,68,3,49
1626856990000,99,84,20,82,100,53,31,47,36,40,33,49
1626856995000,89,87,53,29,83,34,31,40,31,28,68,5
1626857000000,96,86,0,68,87,34,33,54,31,50,16,38
1626857005000,86,99,63,49,85,45,36,42,42,0,68,38
1626857010000,81,99,1,12,84,65,84,57,31,0,68,31
1626857015000,90,95,9,0,94,35,31,42,51,27,65,50
1626857020000,98,89,59,4,83,50,31,47,31,66,20,59
1626857025000,85,85,18,88,99,54,35,34,31,3,64,31
1626857030000,99,99,6,0,94,49,31,2,34,49,0,32
1626857035000,85,99,50,8,99,34,31,35,31,38,39,39
1626857040000,88,86,55,34,100,55,39,60,78,34,53,39
1626857045000,88,100,40,49,87,2,32,53,31,68,37,32
1626857050000,99,99,1,69,84,40,31,34,44,8,1,35
1626857055000,99,99,0,51,87,35,31,34,33,0,31,59
1626857060000,95,89,66,4,94,34,17,54,39,10,68,55
1626857065000,99,99,11,0,89,36,30,40,42,54,68,30
1626857070000,100,88,32,68,84,55,33,46,35,84,14,31
1626857075000,85,97,25,3,98,49,38,53,30,69,0,61
1626857080000,98,99,38,54,81,34,31,52,39,0,8,31
1626857085000,96,97,0,21,0,27,42,36,55,66,0,31
1626857090000,99,100,28,8,100,45,58,63,31,32,12,45
1626857095000,84,99,0,0,84,40,67,34,38,31,0,45
1626857100000,92,88,48,27,99,1,40,58,34,20,0,36
1626857105000,89,89,66,1,87,49,31,51,44,16,68,43
1626857110000,99,100,0,47,99,46,31,34,38,26,0,41
1626857115000,99,90,39,63,99,46,31,39,37,68,0,56
1626857120000,26,85,33,0,99,38,37,34,37,26,0,38
1626857125000,99,100,0,4,100,34,31,34,38,0,0,31
1626857130000,89,88,0,0,99,54,31,50,36,60,57,41
1626857135000,99,7,41,0,100,34,31,51,31,61,49,37
1626857140000,86,90,0,69,99,34,32,34,36,18,47,54
1626857145000,88,83,34,67,95,51,39,54,84,0,52,43
1626857150000,99,99,53,29,89,42,53,34,31,37,9,46
1626857155000,90,87,61,41,87,85,32,43,38,62,0,6
1626857160000,99,88,0,25,99,54,31,34,41,7,11,43
1626857165000,89,89,46,0,91,37,31,85,31,0,25,43
1626857170000,85,84,6,0,87,52,39,43,50,68,60,41
1626857175000,95,85,0,68,89,39,45,43,31,30,67,37
1626857180000,90,100,0,86,89,48,13,34,31,36,4,36
1626857185000,90,99,0,69,98,34,31,34,54,54,0,41
1626857190000,86,96,15,41,89,49,47,49,43,17,37,50
1626857195000,92,83,2,0,89,34,57,60,31,11,68,51
1626857200000,81,84,22,56,79,43,31,37,58,36,0,32
1626857205000,99,83,77,0,96,43,42,52,31,31,0,61
1626857210000,89,86,66,59,99,55,55,52,37,43,29,40
1626857215000,84,99,31,69,100,34,51,34,46,30,33,32
1626857220000,92,99,0,13,99,45,31,0,41,0,14,30
1626857225000,84,90,31,63,99,44,52,44,33,10,63,32
1626857230000,94,98,66,0,88,41,45,34,31,58,58,31
1626857235000,95,86,0,11,81,52,47,34,31,0,25,47
1626857240000,99,87,0,49,100,36,37,48,32,31,50,29
1626857245000,90,100,6,0,99,42,31,51,31,28,68,49
1626857250000,99,96,9,25,99,54,48,46,27,0,0,41
1626857255000,99,99,65,16,94,47,40,43,39,0,86,31
1626857260000,89,89,0,0,89,34,31,52,40,63,0,87
1626857265000,98,80,35,59,94,34,85,35,31,0,0,32
1626857270000,84,88,3,42,90,34,51,34,31,67,42,44
1626857275000,97,99,46,5,99,43,31,0,31,33,1,31
1626857280000,85,90,0,23,95,34,31,45,32,29,1,59
1626857285000,99,99,78,40,89,39,41,45,50,21,36,34
1626857290000,94,90,0,54,91,34,44,49,41,40,1,38
1626857295000,4,100,61,0,82,46,34,46,38,68,0,31
1626857300000,99,84,56,0,90,26,31,40,31,14,5,39
1626857305000,99,88,34,25,89,34,31,34,33,2,0,35
1626857310000,84,97,0,15,87,55,45,34,44,59,45,31
1626857315000,100,98,35,68,89,52,44,35,31,4,68,54
1626857320000,90,99,53,18,99,34,54,56,54,66,49,45
1626857325000,88,100,29,0,98,34,34,46,31,5,32,41
1626857330000,86,88,0,69,99,34,31,51,31,52,50,31
1626857335000,86,88,54,0,86,50,29,55,37,19,0,31
1626857340000,83,89,23,10,87,62,39,34,38,56,42,34
1626857345000,99,85,0,27,90,40,31,48,31,57,14,34
1626857350000,94,90,17,0,84,2,85,52,31,19,6,31
1626857355000,100,97,0,62,99,34,31,85,44,41,18,44
1626857360000,95,86,0,40,90,44,31,54,31,36,59,44
1626857365000,98,84,2,46,89,34,31,0,50,64,63,81
1626857370000,99,0,54,64,0,0,0,0,0,50,0,39
1626857375000,88,0,0,0,0,0,0,0,0,39,0,52
1626857380000,97,0,20,65,0,0,0,0,0,65,0,53
1626857385000,100,0,30,11,2,0,0,0,0,0,0,52
1626857390000,73,0,63,2,19,0,0,0,0,22,0,36
1626857395000,99,0,27,69,50,0,0,0,0,69,0,39
1626857400000,99,0,0,17,50,0,0,0,0,0,0,60
1626857405000,87,0,0,45,36,0,0,0,0,69,37,31
1626857410000,96,0,28,66,31,18,0,0,0,0,34,41
1626857415000,98,6,0,63,52,0,0,0,6,0,31,31
1626857420000,100,0,35,17,32,0,0,3,99,0,34,63
1626857425000,99,0,0,0,31,0,54,33,100,69,30,0
1626857430000,86,0,47,27,31,0,55,33,95,0,45,0
1626857435000,87,99,53,4,39,0,35,31,100,62,31,0
1626857440000,82,99,8,0,52,2,35,31,82,61,45,0
1626857445000,83,90,0,7,55,0,56,41,89,65,58,0
1626857450000,83,90,43,63,31,28,41,0,99,32,39,0
1626857455000,99,99,26,0,50,17,48,31,99,50,0,0
1626857460000,88,87,29,0,39,14,40,35,89,64,30,0
1626857465000,98,89,13,0,48,88,44,47,89,29,30,0
1626857470000,96,88,27,5,50,0,35,31,90,8,38,0
1626857475000,85,95,0,0,31,0,53,53,96,19,31,0
1626857480000,86,98,65,0,31,67,48,31,84,3,31,0
1626857485000,86,87,0,14,31,0,35,31,85,57,30,0
1626857490000,88,95,0,61,32,0,0,31,89,33,0,0
1626857495000,82,89,0,11,40,10,0,31,98,1,0,0
1626857500000,89,100,0,38,35,12,3,31,99,67,0,0
1626857505000,99,90,0,8,43,4,0,53,100,17,0,0
1626857510000,98,96,0,16,35,52,0,49,99,63,0,0
1626857515000,86,99,0,0,37,66,0,41,99,20,0,0
1626857520000,89,100,31,42,31,5,0,47,92,0,12,0
1626857525000,7,100,31,23,32,1,0,54,87,8,0,0
1626857530000,90,85,31,0,35,24,35,47,90,55,0,0
1626857535000,84,92,38,0,40,24,54,31,5,17,0,0
1626857540000,87,97,41,24,27,17,54,31,99,55,0,2
1626857545000,100,87,30,0,31,46,38,47,99,20,0,0
1626857550000,98,96,35,2,31,0,35,50,100,69,0,35
1626857555000,100,90,30,22,31,25,41,31,85,0,0,40
1626857560000,92,91,37,30,31,68,35,58,88,29,57,50
1626857565000,87,87,42,2,50,23,56,40,89,68,46,62
1626857570000,88,99,48,40,33,68,55,31,99,44,35,54
1626857575000,89,89,53,49,42,0,52,38,99,68,16,35
1626857580000,87,90,44,69,79,43,86,44,100,21,0,35
1626857585000,95,99,41,69,34,54,50,41,89,28,0,41
1626857590000,100,100,44,33,31,0,58,46,96,36,3,35
1626857595000,99,76,31,11,40,49,41,43,99,0,67,35
1626857600000,98,99,31,1,55,0,60,50,99,69,15,47
1626857605000,99,98,30,65,31,58,35,37,93,0,3,44
1626857610000,98,97,31,0,33,2,35,47,88,35,38,56
1626857615000,100,99,52,1,53,37,38,76,91,69,66,35
1626857620000,89,99,47,15,45,0,51,31,80,68,67,36
1626857625000,89,99,30,18,49,24,46,29,91,0,32,35
1626857630000,99,83,30,0,48,14,36,61,99,65,0,54
1626857635000,84,88,44,41,31,15,2,31,100,56,42,48
1626857640000,100,85,30,87,43,47,48,31,96,31,39,45
1626857645000,96,99,39,0,57,0,43,62,86,0,49,45
1626857650000,90,89,41,56,52,0,35,0,95,18,49,41
1626857655000,0,87,53,0,0,6,56,0,0,0,0,0
1626857660000,0,99,50,0,0,68,37,0,0,0,35,0
1626857665000,0,90,30,0,0,4,52,0,0,0,9,0
1626857670000,0,95,42,0,0,18,54,0,3,0,0,0
1626857675000,0,87,30,0,0,1,35,0,0,0,0,0
1626857680000,0,89,53,3,0,56,38,0,0,0,39,0
1626857685000,12,87,48,0,0,81,35,0,0,0,0,2
1626857690000,0,84,41,0,12,30,47,0,0,42,37,0
1626857695000,0,99,30,2,0,0,35,0,0,47,45,0
1626857700000,0,99,54,85,0,34,35,0,0,60,0,12
1626857705000,0,99,30,98,0,0,45,2,90,31,67,99
1626857710000,0,99,30,90,0,66,53,0,34,44,0,85
1626857715000,92,98,48,99,0,55,87,49,0,32,67,99
1626857720000,4,100,47,99,4,0,52,52,32,2,29,98
1626857725000,8,84,30,88,0,52,49,43,24,0,0,84
1626857730000,66,95,51,87,11,67,35,35,0,0,36,83
1626857735000,0,88,32,99,54,68,42,53,66,0,57,98
1626857740000,67,99,18,99,54,67,44,75,1,0,0,99
1626857745000,25,85,48,94,19,11,35,35,24,0,63,99
1626857750000,84,83,47,90,40,53,59,47,69,0,19,86
1626857755000,2,100,41,94,10,33,53,35,34,0,0,98
1626857760000,67,99,38,99,44,19,35,39,0,0,0,96
1626857765000,0,100,30,80,0,67,60,35,0,0,18,95
1626857770000,66,84,30,99,0,21,0,50,38,0,67,86
1626857775000,0,0,0,90,13,37,53,35,47,0,48,87
1626857780000,0,0,0,99,0,19,59,37,32,0,12,84
1626857785000,0,0,0,87,3,31,40,35,0,0,83,82
1626857790000,0,0,0,88,57,0,68,41,41,0,15,89
1626857795000,0,12,0,89,14,49,62,35,0,0,51,89
1626857800000,4,0,0,87,31,1,55,39,59,43,60,98
1626857805000,99,0,0,100,78,40,49,48,69,38,67,100
1626857810000,61,0,0,99,0,11,60,46,46,31,45,88
1626857815000,86,0,0,96,0,0,35,35,8,31,1,99
1626857820000,80,0,98,86,42,56,35,49,29,31,67,97
1626857825000,93,97,99,89,0,11,54,44,35,58,67,99
1626857830000,89,62,86,98,0,22,43,48,69,31,0,85
1626857835000,74,61,86,96,68,13,41,42,28,42,0,99
1626857840000,90,69,86,99,0,0,35,52,11,38,4,100
1626857845000,77,69,99,99,32,1,46,56,0,38,29,99
1626857850000,86,48,99,87,0,52,40,35,10,43,0,99
1626857855000,95,0,88,100,50,0,58,35,26,54,4,99
1626857860000,96,4,87,87,0,21,35,46,63,53,0,87
1626857865000,99,50,81,100,61,59,49,55,54,42,66,99
1626857870000,95,0,0,45,1,35,45,43,69,31,53,89
1626857875000,89,66,81,99,0,32,41,34,18,31,67,77
1626857880000,99,1,99,88,68,25,1,0,14,0,24,93
1626857885000,99,3,87,99,25,0,54,0,0,48,37,98
1626857890000,99,69,87,90,17,0,47,0,56,31,39,100
1626857895000,99,0,0,94,0,0,50,0,0,31,34,0
1626857900000,100,6,0,84,0,0,40,0,0,40,26,0
1626857905000,99,11,0,99,0,0,53,0,0,31,67,0
1626857910000,97,4,0,99,0,0,60,0,0,52,67,0
1626857915000,96,45,0,99,0,0,37,12,0,48,67,0
1626857920000,94,28,0,89,19,3,37,0,0,34,21,0
1626857925000,89,36,69,99,0,5,35,0,0,50,41,0
1626857930000,89,0,88,96,0,0,53,0,0,35,18,0
1626857935000,82,2,99,87,0,0,85,0,95,31,28,0
1626857940000,90,0,88,86,0,0,44,0,99,42,1,0
1626857945000,90,8,93,91,0,0,37,97,99,36,54,0
1626857950000,98,22,98,84,2,0,46,67,98,31,33,0
1626857955000,86,3,85,88,0,0,49,6,100,32,67,0
1626857960000,99,0,99,81,0,16,34,0,85,5,22,0
1626857965000,90,20,99,87,46,0,40,69,85,40,29,21
1626857970000,99,64,99,88,68,29,35,22,80,31,67,64
1626857975000,68,69,99,88,0,0,40,5,85,36,39,2
1626857980000,98,45,87,90,1,0,50,0,100,31,7,43
1626857985000,90,0,95,100,0,1,35,30,99,31,19,18
1626857990000,86,11,88,96,68,68,86,0,96,35,52,54
1626857995000,80,0,99,98,60,35,52,12,99,39,26,10
1626858000000,89,38,100,99,19,0,47,56,82,45,67,19
1626858005000,91,25,100,100,16,40,46,36,86,31,43,68
1626858010000,83,69,99,100,25,67,35,26,83,31,65,33
1626858015000,100,58,89,99,0,35,48,0,81,40,41,68
