"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626863700000,0,0,0,0,0,0,0,0,0,0,0,0
1626863705000,0,0,0,0,0,0,0,0,0,0,0,0
1626863710000,0,0,0,0,0,0,0,0,0,0,0,0
1626863715000,0,0,0,0,0,0,0,0,3,4,3,3
1626863720000,0,0,0,0,0,0,0,0,0,0,0,0
1626863725000,0,0,0,0,0,0,0,0,0,0,0,0
1626863730000,0,0,0,0,0,0,0,0,0,0,0,0
1626863735000,0,0,0,0,0,0,0,0,0,0,0,0
1626863740000,0,0,0,0,0,0,0,0,0,0,0,0
1626863745000,0,0,0,0,0,0,0,0,0,0,0,0
1626863750000,0,0,0,0,0,0,0,0,2,0,0,0
1626863755000,0,0,0,0,0,0,0,0,0,0,0,0
1626863760000,0,0,0,0,0,0,0,0,86,20,0,17
1626863765000,0,0,0,0,0,0,0,0,0,11,1,26
1626863770000,0,0,0,0,0,0,0,0,0,64,12,40
1626863775000,0,0,0,0,0,0,0,0,3,39,63,50
1626863780000,0,0,0,0,0,0,0,0,0,0,0,0
1626863785000,0,0,0,0,0,0,0,0,43,74,43,20
1626863790000,0,0,0,0,0,0,0,0,50,13,39,23
1626863795000,0,0,0,0,0,0,0,0,16,56,53,56
1626863800000,0,0,0,0,0,0,0,0,28,65,12,63
1626863805000,0,0,0,0,0,0,0,0,54,65,31,35
1626863810000,0,0,0,0,0,0,0,0,36,81,69,68
1626863815000,0,0,0,0,0,0,0,0,0,100,0,0
1626863820000,0,0,0,0,0,0,0,0,64,0,47,51
1626863825000,0,0,0,0,0,0,0,0,76,0,61,45
1626863830000,0,0,0,0,0,0,0,0,0,0,0,0
1626863835000,12,1,12,0,0,1,0,0,0,0,63,0
1626863840000,0,96,0,0,0,94,0,0,71,0,72,50
1626863845000,0,77,0,0,0,56,0,0,36,0,60,1
1626863850000,0,72,0,0,0,69,0,0,45,0,30,0
1626863855000,0,87,0,0,0,75,0,0,48,0,0,34
