"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626876320000,0,0,0,0,0,0,0,0,0,0,0,0
1626876325000,0,0,0,0,0,0,0,0,0,0,0,0
1626876330000,0,0,0,0,0,0,0,0,0,0,0,0
1626876335000,0,0,0,0,0,0,0,0,0,0,0,0
1626876340000,0,0,0,0,0,0,0,0,0,0,0,0
1626876345000,0,0,0,0,0,0,0,0,0,0,0,0
1626876350000,0,0,0,0,0,0,0,0,0,0,0,0
1626876355000,4,0,0,0,2,0,3,0,0,0,0,0
1626876360000,0,0,0,0,0,0,0,0,0,0,0,0
1626876365000,0,0,0,0,0,0,0,0,0,0,0,0
1626876370000,0,0,0,0,0,0,0,0,0,0,0,0
1626876375000,0,0,0,0,0,0,0,0,0,0,0,0
1626876380000,0,0,0,0,0,0,0,0,0,0,0,0
1626876385000,0,0,0,0,0,0,0,0,0,0,0,0
1626876390000,90,0,0,0,8,0,86,0,0,0,0,0
1626876395000,83,0,0,0,68,0,51,0,0,0,0,0
1626876400000,14,0,0,0,1,0,29,0,0,0,0,0
1626876405000,27,0,0,0,27,0,4,0,0,0,0,0
1626876410000,39,0,0,0,74,0,79,0,0,0,0,0
1626876415000,0,0,0,0,57,0,0,0,0,0,0,0
1626876420000,92,0,0,0,0,0,56,0,0,0,0,0
1626876425000,52,0,0,0,63,0,52,0,0,0,0,0
1626876430000,70,0,0,0,53,0,12,0,0,0,0,0
1626876435000,56,0,0,0,12,0,54,0,0,0,0,0
1626876440000,65,0,0,0,0,0,8,0,0,0,0,0
1626876445000,0,0,0,0,47,0,3,0,0,0,0,0
1626876450000,33,0,0,0,32,0,31,0,0,0,0,0
1626876455000,51,0,0,0,68,0,57,0,0,0,0,0
1626876460000,0,0,0,0,0,0,0,0,0,0,0,0
1626876465000,0,0,13,0,0,0,0,0,0,0,0,0
1626876470000,0,0,0,0,0,0,0,0,0,0,0,0
1626876475000,0,2,0,0,0,0,0,0,0,0,0,0
1626876480000,0,0,0,0,0,0,0,0,0,0,0,0
1626876485000,0,0,0,0,0,0,0,0,0,0,9,0
1626876490000,0,0,0,0,0,0,0,0,0,0,36,0
1626876495000,0,0,0,0,0,0,0,0,11,97,53,0
1626876500000,4,0,63,0,0,0,19,0,49,84,30,0
1626876505000,78,50,62,0,0,3,88,0,85,62,44,0
1626876510000,11,0,50,0,0,0,0,0,74,38,36,0
1626876515000,83,13,71,0,0,0,18,0,89,70,41,0
1626876520000,0,14,42,0,0,23,18,0,85,53,31,0
1626876525000,0,54,79,0,0,68,0,0,77,50,35,0
1626876530000,67,0,70,0,0,63,80,0,77,59,61,0
1626876535000,0,40,0,0,0,63,13,0,71,79,54,0
1626876540000,58,16,63,0,0,62,75,0,81,49,5,0
1626876545000,23,28,26,0,0,60,63,0,86,73,57,0
1626876550000,73,32,60,0,0,0,60,0,74,40,46,0
1626876555000,13,58,7,0,0,1,23,0,65,42,30,0
1626876560000,58,49,94,0,0,1,76,0,0,0,48,0
1626876565000,60,61,10,0,0,22,51,0,83,52,31,0
1626876570000,19,65,11,0,0,4,20,0,65,60,31,0
1626876575000,61,7,1,0,0,44,21,0,40,40,38,0
1626876580000,,69,,0,,66,,0,0,0,61,0
1626876585000,4,66,0,0,0,4,0,0,0,0,45,0
1626876590000,66,65,0,0,0,23,0,0,0,0,31,0
1626876595000,0,87,0,0,0,0,0,0,0,0,51,0
1626876600000,29,45,0,0,0,0,0,0,0,1,49,0
1626876605000,59,38,0,0,99,69,0,0,0,0,31,0
1626876610000,68,87,0,0,82,0,0,0,0,0,60,0
1626876615000,29,44,0,0,83,75,0,0,80,0,30,0
1626876620000,0,37,0,0,86,38,0,0,85,0,74,0
1626876625000,0,47,46,0,85,71,0,0,83,0,31,0
1626876630000,0,47,42,0,99,41,43,0,85,0,31,0
1626876635000,0,68,54,0,100,0,57,0,86,0,51,0
1626876640000,0,3,49,0,100,0,49,0,73,40,45,0
1626876645000,0,66,59,0,100,49,60,0,86,91,49,0
1626876650000,0,62,44,0,93,0,35,0,97,0,31,0
1626876655000,0,51,0,0,99,65,38,0,90,37,41,0
1626876660000,0,76,58,0,2,20,53,0,86,40,30,0
1626876665000,17,32,61,0,100,52,47,0,88,56,52,0
1626876670000,0,32,34,0,100,0,41,0,99,0,36,0
1626876675000,0,0,40,0,100,0,56,0,94,61,30,0
1626876680000,0,56,45,0,90,0,57,0,96,12,34,0
1626876685000,0,82,38,0,99,71,56,0,87,0,49,0
1626876690000,0,88,55,0,99,13,55,0,83,35,40,0
1626876695000,87,14,34,0,99,32,35,0,99,38,30,0
1626876700000,69,0,0,0,88,0,0,0,84,0,9,0
1626876705000,0,0,0,0,98,0,0,0,83,0,34,0
1626876710000,51,0,0,0,94,0,0,0,85,0,55,0
1626876715000,33,0,0,0,90,0,0,0,95,0,31,0
1626876720000,29,0,0,0,94,0,0,0,89,18,49,0
1626876725000,0,0,0,0,83,0,18,0,93,0,50,3
1626876730000,6,0,0,0,100,0,0,0,99,0,35,0
1626876735000,61,0,0,0,86,0,0,0,97,0,30,0
1626876740000,17,0,0,0,88,0,0,0,88,0,37,0
1626876745000,3,99,49,0,99,0,0,0,96,0,31,0
1626876750000,0,87,30,0,99,2,0,5,88,0,47,0
1626876755000,0,83,45,0,99,45,1,42,98,0,44,0
1626876760000,41,84,30,0,99,34,0,49,99,67,56,0
1626876765000,55,100,54,0,93,60,0,34,87,42,30,0
1626876770000,44,99,31,0,87,61,0,58,88,0,45,25
1626876775000,3,71,38,0,99,52,8,41,98,0,54,67
1626876780000,11,99,31,0,94,34,42,0,99,25,87,34
1626876785000,48,100,33,0,85,44,53,52,85,0,31,1
1626876790000,0,99,37,0,85,44,68,34,4,92,49,21
1626876795000,2,86,31,0,99,48,0,34,98,69,37,17
1626876800000,66,97,53,0,89,52,16,53,87,30,38,58
1626876805000,0,89,45,0,93,38,5,55,89,48,31,67
1626876810000,13,99,35,0,90,3,51,1,100,68,39,22
1626876815000,21,95,30,0,89,34,14,58,100,38,30,0
1626876820000,0,84,42,0,89,66,0,58,99,68,32,68
1626876825000,17,89,33,0,89,34,0,34,99,69,47,24
1626876830000,1,85,31,0,93,53,61,34,93,31,31,43
1626876835000,0,100,32,0,87,34,69,34,82,0,32,68
1626876840000,38,81,35,0,94,58,74,35,100,16,31,0
1626876845000,0,82,51,0,100,51,37,54,100,20,37,81
1626876850000,0,100,44,0,100,34,1,48,95,67,45,0
1626876855000,74,99,30,0,86,49,28,39,85,0,54,46
1626876860000,64,96,50,0,99,58,6,39,85,17,43,13
1626876865000,45,84,43,0,100,0,36,0,89,0,47,59
1626876870000,41,90,55,0,99,55,0,34,88,33,30,16
1626876875000,68,90,0,0,98,43,0,49,86,68,51,0
1626876880000,0,85,39,0,99,44,0,53,87,25,31,0
1626876885000,0,85,30,0,99,36,15,38,85,0,47,1
1626876890000,7,89,52,0,84,56,65,40,86,34,39,68
1626876895000,0,100,35,0,88,34,65,35,89,12,33,26
1626876900000,68,100,44,0,75,49,7,35,99,69,45,0
1626876905000,25,100,30,0,91,34,69,35,100,0,34,0
1626876910000,42,81,41,0,87,38,61,34,95,0,44,47
1626876915000,1,3,31,0,99,52,56,35,83,68,8,0
1626876920000,0,98,37,0,99,2,15,70,81,67,39,0
1626876925000,56,100,49,0,98,53,33,38,87,0,50,2
1626876930000,6,86,31,0,99,57,23,38,99,31,33,52
1626876935000,0,89,31,0,99,54,19,53,86,7,54,32
1626876940000,52,82,41,0,86,40,0,42,98,2,37,0
1626876945000,13,88,41,0,99,48,21,41,98,69,51,4
1626876950000,44,96,34,0,96,49,53,49,100,65,31,10
1626876955000,19,90,0,0,96,45,42,61,92,29,44,0
1626876960000,46,85,39,0,99,43,0,39,99,42,39,68
1626876965000,40,100,46,0,81,34,69,35,94,16,37,58
1626876970000,0,100,31,0,99,34,33,45,96,29,42,43
1626876975000,0,95,31,0,100,0,2,84,86,0,31,0
1626876980000,0,87,31,0,89,51,3,34,99,19,31,0
1626876985000,36,89,37,0,84,49,18,35,99,0,44,0
1626876990000,29,99,31,0,99,50,42,54,88,87,53,66
1626876995000,51,85,47,0,97,56,5,35,92,47,35,47
1626877000000,59,87,49,0,85,58,14,48,99,23,30,84
1626877005000,13,88,31,0,99,35,0,39,87,38,53,1
1626877010000,87,86,37,0,82,35,0,45,99,0,31,0
1626877015000,29,85,31,0,94,35,67,39,99,0,31,63
1626877020000,68,100,32,0,100,44,69,50,99,68,54,26
1626877025000,0,100,35,0,98,46,0,55,0,0,57,28
1626877030000,4,100,31,0,99,11,1,35,98,64,36,46
1626877035000,7,96,81,0,99,53,42,36,99,0,30,0
1626877040000,66,85,49,0,66,41,69,36,99,20,43,31
1626877045000,42,86,30,0,86,54,12,35,97,22,39,59
1626877050000,59,99,30,0,98,53,0,43,99,15,0,50
1626877055000,25,99,42,0,99,53,16,52,99,68,41,30
1626877060000,0,100,52,0,99,40,0,24,100,3,52,0
1626877065000,0,85,58,0,87,35,3,38,100,62,47,52
1626877070000,0,100,30,0,99,35,29,34,87,57,31,0
1626877075000,27,99,30,0,96,35,38,46,100,0,38,52
1626877080000,0,91,41,0,99,49,7,35,87,11,41,0
1626877085000,10,99,45,0,89,71,62,49,96,0,42,0
1626877090000,57,100,32,0,98,35,0,34,87,19,51,0
1626877095000,44,95,31,0,100,34,0,48,86,36,50,41
1626877100000,68,87,49,0,98,35,33,57,100,69,31,6
1626877105000,0,87,39,0,99,48,43,47,80,49,33,0
1626877110000,53,85,53,0,96,51,19,35,99,43,31,20
1626877115000,27,90,86,0,88,35,0,0,96,45,43,31
1626877120000,6,99,31,0,100,53,14,50,86,12,49,0
1626877125000,10,85,41,0,89,57,0,34,100,42,31,0
1626877130000,0,84,39,0,100,40,64,60,86,68,6,38
1626877135000,19,99,31,0,52,51,2,36,98,31,37,64
1626877140000,0,99,42,0,99,35,9,46,85,9,43,42
1626877145000,0,100,55,0,86,34,53,45,96,2,33,0
1626877150000,36,89,30,0,99,51,0,42,99,69,30,0
1626877155000,67,95,58,0,99,50,0,52,99,26,50,1
1626877160000,53,86,34,0,87,41,3,54,93,62,31,46
1626877165000,83,88,55,0,99,0,11,34,99,12,56,42
1626877170000,8,84,0,0,98,54,1,58,100,43,32,8
1626877175000,36,88,36,0,91,37,0,35,82,45,52,0
1626877180000,68,99,58,0,99,47,41,51,99,36,30,36
1626877185000,49,100,30,0,91,35,21,42,99,0,31,57
1626877190000,30,100,31,0,97,53,0,55,98,57,32,40
1626877195000,0,85,30,0,83,42,0,37,90,32,33,1
1626877200000,30,87,39,0,99,47,69,48,88,24,30,0
1626877205000,12,98,44,0,88,37,46,46,58,49,56,0
1626877210000,68,86,33,0,87,34,15,35,98,0,55,68
1626877215000,19,97,42,0,95,34,55,54,87,56,31,64
1626877220000,28,90,30,0,90,48,48,35,99,69,31,61
1626877225000,67,87,46,0,85,34,86,39,100,1,38,59
1626877230000,67,88,31,0,88,37,42,48,98,0,30,5
1626877235000,0,99,46,0,100,38,35,51,99,53,39,28
1626877240000,9,86,57,0,98,43,18,35,89,27,45,0
1626877245000,68,84,42,0,99,34,23,47,89,0,46,32
1626877250000,10,100,86,0,96,42,0,35,89,69,35,52
1626877255000,44,99,34,0,100,34,22,57,99,22,51,30
1626877260000,24,100,48,0,89,39,56,34,97,67,57,3
1626877265000,67,84,40,0,99,34,51,35,99,13,30,48
1626877270000,0,0,50,0,99,34,69,64,86,8,43,67
1626877275000,19,89,31,0,98,21,35,34,84,69,31,20
1626877280000,68,100,36,0,99,40,67,39,100,2,51,0
1626877285000,30,99,30,0,99,55,46,49,88,1,37,0
1626877290000,67,91,32,0,99,51,52,42,99,52,40,1
1626877295000,68,98,30,0,89,57,67,35,100,0,47,16
1626877300000,30,99,47,0,88,34,0,34,89,43,31,13
1626877305000,0,90,30,0,93,58,32,86,99,1,44,36
1626877310000,0,99,42,0,96,34,68,64,99,47,52,0
1626877315000,23,99,47,0,99,55,50,35,98,0,48,23
1626877320000,82,83,33,0,99,47,69,50,96,0,31,61
1626877325000,31,89,30,0,99,40,1,35,87,63,30,14
1626877330000,29,97,78,0,99,34,0,35,98,2,51,20
1626877335000,68,100,54,0,100,43,19,34,100,31,41,31
1626877340000,0,99,30,0,100,53,69,37,99,60,43,67
1626877345000,22,100,49,0,90,40,56,34,99,69,73,68
1626877350000,38,98,52,0,86,54,0,35,90,0,32,52
1626877355000,20,99,57,0,98,85,16,55,87,37,31,41
1626877360000,1,99,48,0,98,66,44,64,88,0,31,49
1626877365000,67,89,49,0,0,34,0,54,100,0,44,7
1626877370000,7,86,34,0,89,48,17,54,93,46,30,68
1626877375000,59,88,30,0,90,35,28,34,100,0,31,0
1626877380000,11,87,39,0,99,37,69,47,11,69,49,29
1626877385000,45,85,31,0,99,53,60,56,99,68,41,7
1626877390000,67,97,43,0,98,34,9,35,99,0,47,46
1626877395000,13,99,50,0,99,56,0,41,100,3,31,65
1626877400000,67,99,33,0,99,44,0,39,80,62,3,68
1626877405000,9,99,54,0,86,51,40,55,88,4,44,68
1626877410000,54,100,30,0,98,3,0,56,89,0,31,43
1626877415000,68,99,41,0,99,54,0,81,87,5,47,40
1626877420000,45,87,30,0,97,57,8,45,95,34,31,48
1626877425000,9,99,52,0,96,53,62,35,85,24,48,13
1626877430000,34,100,49,0,89,34,23,58,96,38,30,23
1626877435000,53,98,33,0,89,49,0,49,96,51,39,53
1626877440000,67,99,36,0,84,52,40,42,89,11,30,68
1626877445000,62,84,35,0,98,34,64,34,99,1,31,43
1626877450000,18,96,46,0,100,36,65,44,85,43,31,33
1626877455000,46,88,33,0,86,47,69,57,98,0,45,0
1626877460000,0,98,52,0,99,61,43,49,100,32,31,26
1626877465000,9,99,0,0,86,52,0,41,98,5,36,85
1626877470000,12,99,33,0,84,59,24,0,100,50,31,0
