Log file created at: 2021/07/21 16:24:04
Running on machine: gpu4
Binary: Built with gc go1.13.15 for linux/amd64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0721 16:24:04.913154   31979 main.go:19]  "msg"="Celeste - DLT jobs scheduler"  "version"="0.0.1"
I0721 16:24:04.914043   31979 main.go:20]  "msg"="Starting service"  
I0721 16:24:04.919678   31979 placement_manager.go:65]  "msg"="Starting placement manager"  "scheduler"="default"
I0721 16:24:04.920860   31979 placement_manager.go:95]  "msg"="Started placement manager"  "nodes"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default"
I0721 16:24:04.921275   31979 jobmaster.go:82]  "msg"="Starting scheduler"  "gpuType"="default"
I0721 16:24:04.921380   31979 scheduler.go:124]  "msg"="Starting scheduler"  "scheduler"="default"
I0721 16:24:04.953782   31979 scheduler.go:432]  "msg"="Start watching mpijob"  "scheduler"="default"
I0721 16:24:59.626539   31979 jobmaster.go:155]  "msg"="Training job created"  "job"="tf2-keras-cifar10-inceptionv3-elastic-20210721-042459"
I0721 16:24:59.626692   31979 scheduler.go:135]  "msg"="Received resched event, may be blocked because of rate limit"  "blockedUntil"="2021-07-21T16:24:04.921240891+08:00" "lastResched"="2021-07-21T16:24:04.921241174+08:00" "received"="2021-07-21T16:24:59.625870965+08:00" "scheduler"="default"
I0721 16:24:59.627134   31979 scheduler.go:159]  "msg"="Started resched"  "scheduler"="default"
I0721 16:24:59.627206   31979 scheduler.go:193]  "msg"="Updating all jobs info"  "scheduler"="default"
I0721 16:24:59.628680   31979 elastic_fifo.go:73]  "msg"="Finished scheduling"  "algorithm"="ElasticFIFO" "freeGpu"=8 "result"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459":4} "scheduler"="default"
I0721 16:24:59.628952   31979 scheduler.go:384]  "msg"="Trying to delete multiple training jobs"  "jobs"=[] "scheduler"="default"
I0721 16:24:59.629274   31979 scheduler.go:342]  "msg"="Trying to scale multiple training jobs"  "jobs"=[] "scheduler"="default"
I0721 16:24:59.629503   31979 scheduler.go:292]  "msg"="Trying to start multiple training jobs"  "jobs"=["tf2-keras-cifar10-inceptionv3-elastic-20210721-042459"] "scheduler"="default"
I0721 16:24:59.655448   31979 scheduler.go:342]  "msg"="Trying to scale multiple training jobs"  "jobs"=[] "scheduler"="default"
I0721 16:24:59.657382   31979 placement_manager.go:166]  "msg"="Started job placements adjustment"  "scheduler"="default"
I0721 16:24:59.657521   31979 placement_manager.go:192]  "msg"="Releasing slots"  "jobs"={} "nodes"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default"
I0721 16:24:59.657570   31979 placement_manager.go:250]  "msg"="Released slots"  "jobs"={} "nodes"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default"
I0721 16:24:59.657934   31979 placement_manager.go:305]  "msg"="Found best-fit"  "crossNode"=0 "nodes"=[{},{},{}] "requests"=[{},{}] "scheduler"="default"
I0721 16:24:59.658235   31979 placement_manager.go:339]  "msg"="nodeStates updated"  "new"={"gpu3":{},"gpu4":{},"gpu5":{}} "old"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default" "score"=0
I0721 16:24:59.658561   31979 placement_manager.go:387]  "msg"="jobStates updated"  "new"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459":{}} "old"={} "scheduler"="default"
I0721 16:24:59.658958   31979 placement_manager.go:434]  "msg"="podNodeName updated"  "launchersToDelete"=0 "new"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-0":"gpu3","tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-1":"gpu3","tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-2":"gpu3","tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-3":"gpu3"} "old"={} "scheduler"="default" "workersToDelete"=0
I0721 16:24:59.659206   31979 placement_manager.go:183]  "msg"="Finished job placements adjustment"  "scheduler"="default"
I0721 16:24:59.659406   31979 scheduler.go:182]  "msg"="Finished resched"  "scheduler"="default"
I0721 16:24:59.734661   31979 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-0" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Equal","value":"gpu3","effect":"NoExecute"}
I0721 16:24:59.769456   31979 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-1" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Equal","value":"gpu3","effect":"NoExecute"}
I0721 16:24:59.779367   31979 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-2" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Equal","value":"gpu3","effect":"NoExecute"}
I0721 16:24:59.791296   31979 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-3" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Equal","value":"gpu3","effect":"NoExecute"}
I0721 16:24:59.800052   31979 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-launcher" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Exists","effect":"NoExecute"}
I0721 16:25:22.612204   31979 jobmaster.go:155]  "msg"="Training job created"  "job"="tf2-keras-cifar10-resnet50-elastic-20210721-042522"
I0721 16:25:22.612328   31979 scheduler.go:135]  "msg"="Received resched event, may be blocked because of rate limit"  "blockedUntil"="2021-07-21T16:26:59.659590939+08:00" "lastResched"="2021-07-21T16:24:59.659590939+08:00" "received"="2021-07-21T16:25:22.611543248+08:00" "scheduler"="default"
I0721 16:25:50.538852   31979 jobmaster.go:155]  "msg"="Training job created"  "job"="tf2-keras-cifar10-inceptionv3-elastic-20210721-042550"
I0721 16:26:20.471628   31979 jobmaster.go:155]  "msg"="Training job created"  "job"="tf2-keras-cifar10-vgg16-elastic-20210721-042620"
I0721 16:26:42.434505   31979 jobmaster.go:155]  "msg"="Training job created"  "job"="tf2-keras-cifar10-vgg16-elastic-20210721-042642"
I0721 16:26:59.659742   31979 scheduler.go:159]  "msg"="Started resched"  "scheduler"="default"
I0721 16:26:59.659872   31979 scheduler.go:193]  "msg"="Updating all jobs info"  "scheduler"="default"
I0721 16:26:59.663384   31979 elastic_fifo.go:73]  "msg"="Finished scheduling"  "algorithm"="ElasticFIFO" "freeGpu"=0 "result"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459":3,"tf2-keras-cifar10-inceptionv3-elastic-20210721-042550":2,"tf2-keras-cifar10-resnet50-elastic-20210721-042522":3,"tf2-keras-cifar10-vgg16-elastic-20210721-042620":2,"tf2-keras-cifar10-vgg16-elastic-20210721-042642":2} "scheduler"="default"
I0721 16:26:59.663813   31979 scheduler.go:384]  "msg"="Trying to delete multiple training jobs"  "jobs"=[] "scheduler"="default"
I0721 16:26:59.664279   31979 scheduler.go:342]  "msg"="Trying to scale multiple training jobs"  "jobs"=["tf2-keras-cifar10-inceptionv3-elastic-20210721-042459"] "scheduler"="default"
I0721 16:26:59.683657   31979 scheduler.go:292]  "msg"="Trying to start multiple training jobs"  "jobs"=["tf2-keras-cifar10-resnet50-elastic-20210721-042522","tf2-keras-cifar10-inceptionv3-elastic-20210721-042550","tf2-keras-cifar10-vgg16-elastic-20210721-042620","tf2-keras-cifar10-vgg16-elastic-20210721-042642"] "scheduler"="default"
I0721 16:26:59.732800   31979 scheduler.go:342]  "msg"="Trying to scale multiple training jobs"  "jobs"=[] "scheduler"="default"
I0721 16:26:59.736769   31979 placement_manager.go:166]  "msg"="Started job placements adjustment"  "scheduler"="default"
I0721 16:26:59.736855   31979 placement_manager.go:192]  "msg"="Releasing slots"  "jobs"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459":{}} "nodes"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default"
I0721 16:26:59.736969   31979 placement_manager.go:250]  "msg"="Released slots"  "jobs"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459":{}} "nodes"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default"
I0721 16:26:59.737565   31979 placement_manager.go:305]  "msg"="Found best-fit"  "crossNode"=0 "nodes"=[{},{},{}] "requests"=[{},{},{},{},{},{},{},{},{},{}] "scheduler"="default"
I0721 16:26:59.738060   31979 placement_manager.go:339]  "msg"="nodeStates updated"  "new"={"gpu3":{},"gpu4":{},"gpu5":{}} "old"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default" "score"=3
I0721 16:26:59.738478   31979 placement_manager.go:387]  "msg"="jobStates updated"  "new"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459":{},"tf2-keras-cifar10-inceptionv3-elastic-20210721-042550":{},"tf2-keras-cifar10-resnet50-elastic-20210721-042522":{},"tf2-keras-cifar10-vgg16-elastic-20210721-042620":{},"tf2-keras-cifar10-vgg16-elastic-20210721-042642":{}} "old"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459":{}} "scheduler"="default"
I0721 16:26:59.739100   31979 placement_manager.go:434]  "msg"="podNodeName updated"  "launchersToDelete"=0 "new"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-0":"gpu3","tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-1":"gpu3","tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-2":"gpu3","tf2-keras-cifar10-inceptionv3-elastic-20210721-042550-worker-0":"gpu5","tf2-keras-cifar10-inceptionv3-elastic-20210721-042550-worker-1":"gpu5","tf2-keras-cifar10-resnet50-elastic-20210721-042522-worker-0":"gpu4","tf2-keras-cifar10-resnet50-elastic-20210721-042522-worker-1":"gpu4","tf2-keras-cifar10-resnet50-elastic-20210721-042522-worker-2":"gpu4","tf2-keras-cifar10-vgg16-elastic-20210721-042620-worker-0":"gpu5","tf2-keras-cifar10-vgg16-elastic-20210721-042620-worker-1":"gpu5","tf2-keras-cifar10-vgg16-elastic-20210721-042642-worker-0":"gpu3","tf2-keras-cifar10-vgg16-elastic-20210721-042642-worker-1":"gpu4","tf2-keras-cifar10-vgg16-elastic-20210721-042642-worker-2":"gpu4"} "old"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-0":"gpu3","tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-1":"gpu3","tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-2":"gpu3","tf2-keras-cifar10-inceptionv3-elastic-20210721-042459-worker-3":"gpu3"} "scheduler"="default" "workersToDelete"=0
I0721 16:26:59.739665   31979 placement_manager.go:183]  "msg"="Finished job placements adjustment"  "scheduler"="default"
I0721 16:26:59.740050   31979 scheduler.go:182]  "msg"="Finished resched"  "scheduler"="default"
I0721 16:27:00.499388   31979 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-resnet50-elastic-20210721-042522-worker-0" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Equal","value":"gpu4","effect":"NoExecute"}
I0721 16:27:00.895447   31979 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-resnet50-elastic-20210721-042522-worker-1" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Equal","value":"gpu4","effect":"NoExecute"}
I0721 16:27:01.296532   31979 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-resnet50-elastic-20210721-042522-worker-2" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Equal","value":"gpu4","effect":"NoExecute"}
I0721 16:27:01.698297   31979 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-resnet50-elastic-20210721-042522-launcher" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Exists","effect":"NoExecute"}
