Log file created at: 2021/07/21 18:34:41
Running on machine: gpu4
Binary: Built with gc go1.13.15 for linux/amd64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0721 18:34:41.451553    1186 main.go:19]  "msg"="Celeste - DLT jobs scheduler"  "version"="0.0.1"
I0721 18:34:41.452575    1186 main.go:20]  "msg"="Starting service"  
I0721 18:34:41.458156    1186 placement_manager.go:65]  "msg"="Starting placement manager"  "scheduler"="default"
I0721 18:34:41.458614    1186 placement_manager.go:95]  "msg"="Started placement manager"  "nodes"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default"
I0721 18:34:41.459110    1186 jobmaster.go:82]  "msg"="Starting scheduler"  "gpuType"="default"
I0721 18:34:41.459271    1186 scheduler.go:124]  "msg"="Starting scheduler"  "scheduler"="default"
I0721 18:34:41.489965    1186 scheduler.go:432]  "msg"="Start watching mpijob"  "scheduler"="default"
I0721 18:34:48.722494    1186 jobmaster.go:155]  "msg"="Training job created"  "job"="tf2-keras-cifar10-inceptionv3-elastic-20210721-063448"
I0721 18:34:48.722699    1186 scheduler.go:135]  "msg"="Received resched event, may be blocked because of rate limit"  "blockedUntil"="2021-07-21T18:34:41.459094175+08:00" "lastResched"="2021-07-21T18:34:41.459094285+08:00" "received"="2021-07-21T18:34:48.721607529+08:00" "scheduler"="default"
I0721 18:34:48.723409    1186 scheduler.go:159]  "msg"="Started resched"  "scheduler"="default"
I0721 18:34:48.723488    1186 scheduler.go:193]  "msg"="Updating all jobs info"  "scheduler"="default"
I0721 18:34:48.725215    1186 elastic_tiresias.go:160]  "msg"="Finished scheduling"  "algorithm"="ElasticTiresias" "compactionThreshold"=4 "freeGpu"=8 "promoteKnob"=4 "queueNum"=2 "result"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-063448":4} "scheduler"="default" "thresholds"=
I0721 18:34:48.725592    1186 scheduler.go:384]  "msg"="Trying to delete multiple training jobs"  "jobs"=[] "scheduler"="default"
I0721 18:34:48.725891    1186 scheduler.go:342]  "msg"="Trying to scale multiple training jobs"  "jobs"=[] "scheduler"="default"
I0721 18:34:48.726224    1186 scheduler.go:292]  "msg"="Trying to start multiple training jobs"  "jobs"=["tf2-keras-cifar10-inceptionv3-elastic-20210721-063448"] "scheduler"="default"
I0721 18:34:48.749746    1186 scheduler.go:342]  "msg"="Trying to scale multiple training jobs"  "jobs"=[] "scheduler"="default"
I0721 18:34:48.751995    1186 placement_manager.go:166]  "msg"="Started job placements adjustment"  "scheduler"="default"
I0721 18:34:48.752138    1186 placement_manager.go:192]  "msg"="Releasing slots"  "jobs"={} "nodes"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default"
I0721 18:34:48.752185    1186 placement_manager.go:250]  "msg"="Released slots"  "jobs"={} "nodes"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default"
I0721 18:34:48.752614    1186 placement_manager.go:305]  "msg"="Found best-fit"  "crossNode"=0 "nodes"=[{},{},{}] "requests"=[{},{}] "scheduler"="default"
I0721 18:34:48.753004    1186 placement_manager.go:339]  "msg"="nodeStates updated"  "new"={"gpu3":{},"gpu4":{},"gpu5":{}} "old"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default" "score"=0
I0721 18:34:48.753317    1186 placement_manager.go:387]  "msg"="jobStates updated"  "new"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-063448":{}} "old"={} "scheduler"="default"
I0721 18:34:48.753764    1186 placement_manager.go:434]  "msg"="podNodeName updated"  "launchersToDelete"=0 "new"={"tf2-keras-cifar10-inceptionv3-elastic-20210721-063448-worker-0":"gpu5","tf2-keras-cifar10-inceptionv3-elastic-20210721-063448-worker-1":"gpu5","tf2-keras-cifar10-inceptionv3-elastic-20210721-063448-worker-2":"gpu5","tf2-keras-cifar10-inceptionv3-elastic-20210721-063448-worker-3":"gpu5"} "old"={} "scheduler"="default" "workersToDelete"=0
I0721 18:34:48.754170    1186 placement_manager.go:183]  "msg"="Finished job placements adjustment"  "scheduler"="default"
I0721 18:34:48.754538    1186 scheduler.go:182]  "msg"="Finished resched"  "scheduler"="default"
I0721 18:34:48.828330    1186 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-inceptionv3-elastic-20210721-063448-worker-0" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Equal","value":"gpu5","effect":"NoExecute"}
I0721 18:34:48.837064    1186 placement_manager.go:147]  "msg"="Adding toleration to pod"  "podName"="tf2-keras-cifar10-inceptionv3-elastic-20210721-063448-worker-1" "scheduler"="default" "toleration"={"key":"celeste/hostname","operator":"Equal","value":"gpu5","effect":"NoExecute"}
