"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1627028775000,6,11,6,11,5393,11,5393,11,0,0,0,0
1627028780000,6,11,6,11,5393,11,5393,11,0,0,0,0
1627028785000,6,11,6,11,5393,11,5393,11,0,0,0,0
1627028790000,6,11,6,11,5393,11,5393,11,0,0,0,0
1627028795000,6,11,6,11,5393,11,5393,11,0,0,0,0
1627028800000,6,11,6,11,5429,11,5393,11,0,0,0,0
1627028805000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028810000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028815000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028820000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028825000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028830000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028835000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028840000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028845000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028850000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028855000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028860000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028865000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028870000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028875000,6,11,6,11,9677,11,9677,11,0,0,0,0
1627028880000,6,11,6,11,6,11,9677,11,0,0,0,0
1627028885000,6,11,6,11,6,11,9677,11,0,0,0,0
1627028890000,6,11,6,13,6,13,9677,11,0,0,0,0
1627028895000,6,11,6,534,6,534,9677,11,779,0,0,0
1627028900000,217,11,215,534,215,534,9677,11,8645,0,0,0
1627028905000,8651,11,8651,534,4555,534,9677,11,8645,0,0,0
1627028910000,8651,11,8651,534,8651,540,6,11,8645,0,0,0
1627028915000,8651,11,8651,8656,8651,8656,8,11,8645,0,0,0
1627028920000,8651,11,8651,8656,8651,8656,5393,11,8645,0,0,0
1627028925000,8651,11,8651,8656,8651,8656,5393,11,8645,0,0,0
1627028930000,8651,11,8651,8656,8651,8656,5393,11,8645,0,0,0
1627028935000,8651,11,8651,8656,8651,8656,5393,11,8645,0,0,0
1627028940000,8651,11,8651,8656,8651,8656,5393,11,8645,0,0,0
1627028945000,8651,11,8651,8656,8651,8656,5393,11,8645,0,0,0
1627028950000,8651,11,8651,8656,8651,8656,5393,11,8645,0,0,0
1627028955000,8651,11,8651,8656,8651,8656,9677,11,8645,0,0,0
1627028960000,8651,11,8651,8656,8651,8656,9677,11,8645,0,0,0
1627028965000,8651,11,8651,8656,8651,8656,9677,11,8645,0,0,0
1627028970000,8651,11,8651,8656,8651,8656,9677,11,8645,0,0,0
1627028975000,8651,11,8651,8656,8651,8656,9677,11,8645,0,0,0
1627028980000,8651,11,8651,8656,8651,8656,9677,11,8645,0,0,0
1627028985000,8651,11,8651,8656,8651,8656,9677,11,8645,0,0,0
1627028990000,8651,11,8651,8656,8651,8656,9677,11,8645,0,0,0
1627028995000,8651,11,8651,8656,8651,8656,9677,11,8645,0,0,0
1627029000000,6,11,6,8656,8651,8656,6,11,8645,0,0,0
1627029005000,6,11,6,8656,6,8656,6,11,8645,0,0,0
1627029010000,6,11,6,8656,6,8656,6,11,8645,0,0,0
1627029015000,6,11,6,8656,6,8656,6,11,8645,267,0,0
1627029020000,18,310,8,8656,21,8656,8,310,8645,5387,0,0
1627029025000,2507,406,5393,8656,953,8656,5393,406,8645,5387,0,0
1627029030000,8651,406,5393,8656,8651,8656,5393,406,8645,5387,0,0
1627029035000,8651,8658,5393,8656,8651,8656,5393,8658,8645,5387,0,0
1627029040000,8651,8658,5393,8656,8651,8656,5393,8658,8645,5387,0,0
1627029045000,8651,8658,5393,8656,8651,8656,5393,8658,8645,5387,0,0
1627029050000,8651,8658,5393,8656,8651,8656,5393,8658,8645,9671,0,0
1627029055000,8651,8658,5573,8656,8651,8656,5581,8658,8645,9671,0,0
1627029060000,8651,8658,9677,8656,8651,8656,9677,8658,8645,9671,0,0
1627029065000,8651,8658,9677,8656,8651,8656,9677,8658,8645,9671,0,0
1627029070000,8651,8658,9677,8656,8651,8656,9677,8658,8645,9671,0,0
1627029075000,8651,8658,9677,8656,8651,8656,9677,8658,8645,9671,0,0
1627029080000,8651,8658,9677,8656,8651,8656,9677,8658,8645,9671,0,0
1627029085000,8651,8658,9677,8656,8651,8656,9677,8658,8645,9671,0,0
1627029090000,8651,8658,9677,8656,8651,8656,9677,8658,8645,9671,0,0
1627029095000,8651,8658,9677,8656,8651,8656,9677,8658,8645,9671,0,0
