"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626984910000,6,11,6,11,6,11,6,11,0,0,0,0
1626984915000,6,11,6,11,6,11,6,11,0,0,0,0
1626984920000,6,11,6,11,6,11,6,11,0,0,0,0
1626984925000,6,11,6,11,6,11,6,11,0,0,0,0
1626984930000,8,11,6,11,8,11,8,11,0,0,0,0
1626984935000,5393,11,6,11,5393,11,5393,11,0,0,0,0
1626984940000,5393,11,6,11,5393,11,5393,11,0,0,0,0
1626984945000,5393,11,6,11,5393,11,5393,11,0,0,0,0
1626984950000,5393,11,6,11,5393,11,5393,11,0,0,0,0
1626984955000,5393,11,6,11,5393,11,5393,11,0,0,0,0
1626984960000,5393,11,6,11,5393,11,5393,11,0,0,0,0
1626984965000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626984970000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626984975000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626984980000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626984985000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626984990000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626984995000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626985000000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626985005000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626985010000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626985015000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626985020000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626985025000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626985030000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626985035000,9677,11,6,11,9677,11,9677,11,0,0,0,0
1626985040000,6,11,273,11,9677,11,9677,11,0,0,0,0
1626985045000,6,11,5393,11,9677,11,9677,11,0,0,0,0
1626985050000,151,11,5393,11,9677,11,9677,11,0,0,0,0
1626985055000,5393,23,5393,11,9677,11,9677,13,10,0,0,10
1626985060000,5393,534,5393,11,9677,11,9677,534,925,265,257,933
1626985065000,5393,534,5393,11,9677,11,9677,534,8645,8645,8645,8645
1626985070000,5393,534,5393,11,9677,11,9677,534,8645,8645,8645,8645
1626985075000,5393,534,9677,11,9677,11,9677,534,8645,8645,8645,8645
1626985080000,5393,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985085000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985090000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985095000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985100000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985105000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985110000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985115000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985120000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985125000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985130000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985135000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985140000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985145000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985150000,9677,8656,9677,11,9677,11,9677,8656,8645,8645,8645,8645
1626985155000,9677,8656,9677,11,9677,11,9677,8656,,,,
1626985160000,9677,8656,6,11,6,11,6,8656,0,8645,8645,0
1626985165000,9677,8656,6,11,6,11,6,8656,0,8645,8645,0
1626985170000,9677,8656,6,11,6,11,6,8656,0,8645,8645,0
1626985175000,9677,8656,6,13,6,13,6,8656,0,8645,8645,0
1626985180000,9677,8656,6,5398,6,5398,6,8656,299,8645,8645,299
1626985185000,9677,8656,6,5398,6,5398,6,8656,395,8645,8645,395
1626985190000,9677,8656,6,5398,785,5398,785,8656,395,8645,8645,395
1626985195000,9677,8656,6,5398,8651,5398,8651,8656,8647,8645,8645,8647
1626985200000,9677,8656,6,5398,8651,5398,8651,8656,8647,8645,8645,8647
1626985205000,9677,8656,6,5398,8651,5398,8651,8656,8647,8645,8645,8647
1626985210000,9677,8656,6,5586,8651,5448,8651,8656,8647,8645,8645,8647
1626985215000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
1626985220000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
1626985225000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
1626985230000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
1626985235000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
1626985240000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
1626985245000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
1626985250000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
1626985255000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
1626985260000,9677,8656,6,9682,8651,9682,8651,8656,8647,8645,8645,8647
