"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1627009365000,6,11,6,11,6,11,6,11,0,0,0,0
1627009370000,6,11,6,11,6,11,6,11,0,0,0,0
1627009375000,6,11,6,11,6,11,6,11,0,0,0,0
1627009380000,6,11,6,11,6,11,6,11,0,0,0,0
1627009385000,6,11,6,11,6,11,6,11,0,0,0,0
1627009390000,6,11,6,11,6,11,6,11,0,0,0,0
1627009395000,6,11,6,11,6,11,6,11,0,0,0,0
1627009400000,6,11,6,11,6,11,6,11,0,0,0,0
1627009405000,8,11,8,11,8,11,8,11,0,0,0,0
1627009410000,5393,11,5393,11,5393,11,5393,11,0,0,0,0
1627009415000,5393,11,5393,11,5393,11,5393,11,0,0,0,0
1627009420000,5393,11,5393,11,5393,11,5393,11,0,0,0,0
1627009425000,5393,11,5393,11,5393,11,5393,11,0,0,0,0
1627009430000,5393,11,5393,11,5393,11,5393,11,0,0,0,0
1627009435000,5393,11,5393,11,5393,11,5393,11,0,0,0,0
1627009440000,9677,11,9677,11,5581,11,5581,11,0,0,0,0
1627009445000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009450000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009455000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009460000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009465000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009470000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009475000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009480000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009485000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009490000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009495000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009500000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009505000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009510000,9677,11,9677,11,9677,11,9677,11,0,0,0,0
1627009515000,9677,11,9677,11,6,11,9677,11,0,0,0,0
1627009520000,9677,11,9677,11,6,11,9677,11,0,0,0,0
1627009525000,9677,406,9677,11,281,11,9677,11,0,0,0,0
1627009530000,9677,534,9677,13,529,13,9677,13,0,0,0,0
1627009535000,9677,534,9677,5398,529,5398,9677,5398,779,0,0,779
1627009540000,9677,534,9677,5398,529,5398,9677,5398,8645,0,0,8645
1627009545000,9677,548,9677,5398,529,5398,9677,5398,8645,2,2,8645
1627009550000,9677,8656,9677,5398,8651,5398,9677,5398,8645,779,779,8645
1627009555000,9677,8656,9677,5398,8651,5398,9677,5398,8645,8645,8645,8645
1627009560000,9677,8656,9677,5398,8651,5398,9677,5398,8645,8645,8645,8645
1627009565000,9677,8656,9677,5586,8651,5556,9677,5540,8645,8645,8645,8645
1627009570000,9677,8656,9677,9682,8651,9682,9677,9682,8645,8645,8645,8645
1627009575000,9677,8656,9677,9682,8651,9682,9677,9682,8645,8645,8645,8645
1627009580000,9677,8656,9677,9682,8651,9682,9677,9682,8645,8645,8645,8645
1627009585000,9677,8656,9677,9682,8651,9682,9677,9682,8645,8645,8645,8645
1627009590000,9677,8656,9677,9682,8651,9682,9677,9682,8645,8645,8645,8645
1627009595000,6,8656,6,9682,8651,9682,6,9682,8645,8645,8645,8645
1627009600000,5393,8656,5393,9682,8651,9682,5393,9682,8645,8645,8645,8645
1627009605000,5393,8656,5393,9682,8651,9682,5393,9682,8645,8645,8645,8645
1627009610000,5393,8656,5393,9682,8651,9682,5393,9682,8645,8645,8645,8645
1627009615000,5393,8656,5393,9682,8651,9682,5393,9682,8645,8645,8645,8645
1627009620000,5393,8656,5393,9682,8651,9682,5393,9682,8645,8645,8645,8645
1627009625000,5393,8656,5393,9682,8651,9682,5393,9682,8645,8645,8645,8645
1627009630000,5539,8656,5393,9682,8651,9682,5581,9682,8645,8645,8645,8645
1627009635000,6,11,9677,9682,6,9682,6,11,0,8645,8645,0
1627009640000,6,11,6,9682,281,9682,6,11,0,8645,8645,0
1627009645000,6,11,6,9682,529,9682,6,11,0,8645,8645,0
1627009650000,6,13,6,9682,529,9682,6,13,299,8645,8645,299
1627009655000,6,814,6,9682,529,9682,6,790,395,8645,8645,395
1627009660000,6,8656,5393,9682,587,9682,5393,8656,395,8645,8645,395
1627009665000,6,8656,5393,9682,8651,9682,5393,8656,8647,8645,8645,8647
1627009670000,6,8656,5393,9682,8651,9682,5393,8656,8647,8645,8645,8647
1627009675000,6,8656,5393,9682,8651,9682,5393,8656,8647,8645,8645,8647
1627009680000,6,8656,5393,9682,8651,9682,5393,8656,8647,8645,8645,8647
1627009685000,6,8656,5393,9682,8651,9682,5393,8656,8647,8645,8645,8647
1627009690000,6,8656,5581,9682,8651,9682,5497,8656,8647,8645,8645,8647
1627009695000,6,8656,9677,9682,8651,9682,9677,8656,8647,8645,8645,8647
1627009700000,6,8656,9677,9682,8651,9682,9677,8656,8647,8645,8645,8647
1627009705000,6,8656,9677,9682,8651,9682,9677,8656,8647,8645,8645,8647
1627009710000,6,8656,9677,11,8651,11,9677,8656,8647,8645,8645,8647
1627009715000,6,8656,9677,278,8651,278,9677,8656,8647,8645,8645,8647
1627009720000,6,8656,9677,5398,8651,5398,9677,8656,8647,8645,8645,8647
1627009725000,337,8656,9677,5398,8651,5398,9677,8656,8647,8645,8645,8647
1627009730000,529,8656,9677,5398,8651,5398,9677,8656,8647,8645,8645,8647
1627009735000,529,8656,9677,5398,8651,5398,9677,8656,8647,8645,8645,8647
1627009740000,529,8656,9677,5398,8651,5398,9677,8656,8647,8645,8645,8647
1627009745000,529,8656,9677,5398,8651,5398,9677,8656,8647,8645,8645,8647
1627009750000,8651,8656,9677,5476,8651,5586,9677,8656,8647,8645,8645,8647
1627009755000,8651,8656,9677,9682,8651,9682,9677,8656,8647,8645,8645,8647
1627009760000,8651,8656,9677,9682,8651,9682,9677,8656,8647,8645,8645,8647
