"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1627019710000,6,11,6,11,6,11,6,11,0,0,0,0
1627019715000,6,11,6,11,6,11,6,11,0,0,0,0
1627019720000,6,11,6,11,6,11,6,11,0,0,0,0
1627019725000,6,11,6,11,6,11,6,11,0,0,0,0
1627019730000,8,11,6,11,6,11,6,11,0,0,0,0
1627019735000,6,11,6,11,6,11,6,11,0,0,0,0
1627019740000,8,11,6,11,8,11,6,11,0,0,0,0
1627019745000,5393,11,6,11,5393,11,6,11,0,0,0,0
1627019750000,5393,11,6,11,5393,11,6,11,0,0,0,0
1627019755000,5393,11,6,11,5393,11,6,11,0,0,0,0
1627019760000,5393,11,6,11,5393,11,6,11,0,0,0,0
1627019765000,5393,11,6,11,5393,11,6,11,0,0,0,0
1627019770000,5393,11,6,11,5405,11,6,11,0,0,0,0
1627019775000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019780000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019785000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019790000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019795000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019800000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019805000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019810000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019815000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019820000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019825000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019830000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019835000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019840000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019845000,9677,11,6,11,9677,11,6,11,0,0,0,0
1627019850000,6,11,6,11,6,11,6,11,0,0,0,0
1627019855000,6,11,8,11,8,11,8,11,0,0,0,0
1627019860000,6,11,5393,11,5393,11,5393,11,2,2,0,0
