"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1627028775000,0,0,0,0,0,0,0,0,0,0,0,0
1627028780000,0,0,0,0,0,0,0,0,0,0,0,0
1627028785000,0,0,0,0,1,0,0,0,0,0,0,0
1627028790000,0,0,0,0,0,0,0,0,0,0,0,0
1627028795000,0,0,0,0,0,0,0,0,0,0,0,0
1627028800000,0,0,0,0,2,0,0,0,0,0,0,0
1627028805000,0,0,0,0,0,0,0,0,0,0,0,0
1627028810000,0,0,0,0,0,0,34,0,0,0,0,0
1627028815000,0,0,0,0,24,0,0,0,0,0,0,0
1627028820000,0,0,0,0,0,0,76,0,0,0,0,0
1627028825000,0,0,0,0,73,0,86,0,0,0,0,0
1627028830000,0,0,0,0,1,0,28,0,0,0,0,0
1627028835000,0,0,0,0,73,0,11,0,0,0,0,0
1627028840000,0,0,0,0,0,0,59,0,0,0,0,0
1627028845000,0,0,0,0,34,0,71,0,0,0,0,0
1627028850000,0,0,0,0,33,0,0,0,0,0,0,0
1627028855000,0,0,0,0,34,0,0,0,0,0,0,0
1627028860000,0,0,0,0,51,0,11,0,0,0,0,0
1627028865000,0,0,0,0,97,0,25,0,0,0,0,0
1627028870000,0,0,0,0,41,0,71,0,0,0,0,0
1627028875000,0,0,0,0,65,0,0,0,0,0,0,0
1627028880000,0,0,0,0,0,0,0,0,0,0,0,0
1627028885000,0,0,0,0,0,0,0,0,0,0,0,0
1627028890000,0,0,0,0,0,0,0,0,0,0,0,0
1627028895000,0,0,0,0,0,0,0,0,0,0,0,0
1627028900000,2,0,4,0,3,0,0,0,0,0,0,0
1627028905000,68,0,87,0,34,0,0,0,52,0,0,0
1627028910000,59,0,80,0,88,0,0,0,52,0,0,0
1627028915000,80,0,64,0,91,0,0,0,48,0,0,0
1627028920000,72,0,90,47,92,57,12,0,52,0,0,0
1627028925000,98,0,93,67,73,70,0,0,5,0,0,0
1627028930000,95,0,95,55,74,49,0,0,31,0,0,0
1627028935000,57,0,88,45,82,68,0,0,56,0,0,0
1627028940000,61,0,78,65,82,60,0,0,41,0,0,0
1627028945000,68,0,88,70,89,68,0,0,48,0,0,0
1627028950000,91,0,86,85,95,67,0,0,0,0,0,0
1627028955000,88,0,92,41,98,73,0,0,31,0,0,0
1627028960000,91,0,63,72,91,78,0,0,59,0,0,0
1627028965000,91,0,89,42,96,54,64,0,49,0,0,0
1627028970000,29,0,4,82,30,50,0,0,41,0,0,0
1627028975000,89,0,90,61,69,83,29,0,0,0,0,0
1627028980000,30,0,6,61,25,54,69,0,52,0,0,0
1627028985000,73,0,86,83,95,62,0,0,36,0,0,0
1627028990000,74,0,5,60,0,43,0,0,38,0,0,0
1627028995000,87,0,62,55,86,62,69,0,50,0,0,0
1627029000000,40,0,0,67,100,72,0,0,6,0,0,0
1627029005000,0,0,0,69,0,87,0,0,32,0,0,0
1627029010000,0,0,0,54,0,44,0,0,56,0,0,0
1627029015000,0,0,0,52,0,56,0,0,34,3,0,0
1627029020000,2,0,0,68,0,46,0,0,53,12,0,0
1627029025000,1,0,12,59,3,43,17,0,81,0,0,0
1627029030000,89,0,0,80,30,57,0,0,58,0,0,0
1627029035000,58,4,0,50,70,73,0,0,59,0,0,0
1627029040000,46,80,0,64,71,71,0,82,39,0,0,0
1627029045000,60,79,0,44,70,64,0,84,31,0,0,0
1627029050000,40,100,0,89,62,76,0,100,5,0,0,0
1627029055000,48,84,2,62,76,61,1,100,35,0,0,0
1627029060000,42,100,0,78,65,41,0,100,31,26,0,0
1627029065000,48,86,73,78,47,62,1,91,49,46,0,0
1627029070000,46,0,61,86,89,68,23,0,50,3,0,0
1627029075000,65,100,26,83,49,60,65,97,87,68,0,0
1627029080000,53,84,13,64,82,57,16,100,31,22,0,0
1627029085000,79,78,87,89,75,75,1,92,35,0,0,0
1627029090000,55,99,14,77,76,63,2,99,46,22,0,0
1627029095000,41,99,90,69,75,61,1,99,31,53,0,0
1627029100000,79,90,88,48,49,52,12,86,31,68,0,0
1627029105000,63,99,1,82,89,60,39,100,31,0,0,0
