"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1626984910000,0,0,0,0,0,0,0,0,0,0,0,0
1626984915000,0,0,0,0,0,0,0,0,0,0,0,0
1626984920000,0,0,0,0,0,0,0,0,0,0,0,0
1626984925000,0,0,0,0,0,0,0,0,0,0,0,0
1626984930000,0,0,0,0,0,0,0,0,0,0,0,0
1626984935000,12,0,0,0,12,0,12,0,0,0,0,0
1626984940000,0,0,0,0,0,0,0,0,0,0,0,0
1626984945000,0,0,0,0,0,0,0,0,0,0,0,0
1626984950000,0,0,0,0,0,0,0,0,0,0,0,0
1626984955000,0,0,0,0,0,0,0,0,0,0,0,0
1626984960000,0,0,0,0,0,0,0,0,0,0,0,0
1626984965000,0,0,0,0,95,0,46,0,0,0,0,0
1626984970000,37,0,0,0,86,0,65,0,0,0,0,0
1626984975000,0,0,0,0,28,0,6,0,0,0,0,0
1626984980000,19,0,0,0,0,0,0,0,0,0,0,0
1626984985000,57,0,0,0,43,0,20,0,0,0,0,0
1626984990000,40,0,0,0,7,0,11,0,0,0,0,0
1626984995000,76,0,0,0,44,0,85,0,0,0,0,0
1626985000000,0,0,0,0,0,0,1,0,0,0,0,0
1626985005000,22,0,0,0,0,0,4,0,0,0,0,0
1626985010000,76,0,0,0,33,0,85,0,0,0,0,0
1626985015000,38,0,0,0,65,0,56,0,0,0,0,0
1626985020000,31,0,0,0,11,0,76,0,0,0,0,0
1626985025000,61,0,0,0,84,0,0,0,0,0,0,0
1626985030000,41,0,0,0,34,0,59,0,0,0,0,0
1626985035000,91,0,0,0,81,0,4,0,0,0,0,0
1626985040000,0,0,4,0,0,0,0,0,0,0,0,0
1626985045000,0,0,0,0,0,0,0,0,0,0,0,0
1626985050000,0,0,0,0,0,0,0,0,0,0,0,0
1626985055000,0,0,0,0,0,0,0,0,0,0,0,0
1626985060000,0,0,0,0,0,0,0,0,3,3,3,5
1626985065000,0,0,0,0,0,0,0,0,54,85,88,75
