"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1627009365000,0,0,0,0,0,0,0,0,0,0,0,0
1627009370000,0,0,0,0,0,0,0,0,0,0,0,0
1627009375000,0,0,0,0,0,0,0,0,0,0,0,0
1627009380000,0,0,0,0,0,0,0,0,0,0,0,0
1627009385000,0,0,0,0,0,0,0,0,0,0,0,0
1627009390000,0,0,0,0,0,0,0,0,0,0,0,0
1627009395000,0,0,0,0,0,0,0,0,0,0,0,0
1627009400000,0,0,0,0,0,0,0,0,0,0,0,0
1627009405000,0,0,0,0,0,0,0,0,0,0,0,0
1627009410000,12,0,12,0,11,0,12,0,0,0,0,0
1627009415000,0,0,0,0,0,0,0,0,0,0,0,0
1627009420000,0,0,0,0,0,0,0,0,0,0,0,0
1627009425000,0,0,0,0,0,0,0,0,0,0,0,0
1627009430000,0,0,0,0,0,0,0,0,0,0,0,0
1627009435000,0,0,0,0,0,0,0,0,0,0,0,0
1627009440000,61,0,89,0,0,0,0,0,0,0,0,0
1627009445000,0,0,0,0,0,0,0,0,0,0,0,0
1627009450000,15,0,55,0,35,0,0,0,0,0,0,0
1627009455000,64,0,52,0,0,0,63,0,0,0,0,0
1627009460000,48,0,21,0,54,0,45,0,0,0,0,0
1627009465000,30,0,85,0,74,0,47,0,0,0,0,0
1627009470000,36,0,13,0,2,0,0,0,0,0,0,0
1627009475000,47,0,57,0,58,0,69,0,0,0,0,0
1627009480000,2,0,1,0,48,0,1,0,0,0,0,0
1627009485000,0,0,0,0,64,0,28,0,0,0,0,0
1627009490000,0,0,14,0,0,0,0,0,0,0,0,0
1627009495000,73,0,9,0,0,0,78,0,0,0,0,0
1627009500000,0,0,8,0,0,0,12,0,0,0,0,0
1627009505000,54,0,0,0,14,0,0,0,0,0,0,0
1627009510000,60,0,73,0,68,0,77,0,0,0,0,0
1627009515000,30,0,53,0,0,0,36,0,0,0,0,0
1627009520000,0,0,8,0,0,0,8,0,0,0,0,0
1627009525000,16,0,3,0,0,0,2,0,0,0,0,0
1627009530000,39,0,21,0,0,0,46,0,0,0,0,0
1627009535000,20,0,59,12,0,12,0,16,0,0,0,0
1627009540000,77,0,63,0,0,0,21,0,0,0,0,0
1627009545000,79,0,59,0,0,0,17,0,44,0,0,79
1627009550000,44,100,33,0,0,0,0,0,48,0,0,48
1627009555000,16,97,48,0,95,0,24,0,0,45,88,0
1627009560000,0,98,0,0,95,0,0,0,53,39,60,65
1627009565000,0,97,0,0,94,4,0,3,71,68,81,85
1627009570000,0,95,0,0,94,0,0,0,66,79,44,56
1627009575000,0,94,0,58,100,78,0,34,41,48,84,62
1627009580000,0,100,0,0,87,0,0,0,47,90,73,44
1627009585000,0,100,0,52,99,7,0,5,79,44,42,46
1627009590000,0,100,0,90,100,30,0,60,78,51,53,45
1627009595000,0,100,0,93,100,33,0,55,56,67,46,73
1627009600000,12,100,12,0,100,0,17,0,84,56,36,60
1627009605000,0,98,0,68,87,12,0,82,67,86,69,61
1627009610000,0,100,0,56,94,76,0,88,70,71,87,52
1627009615000,0,100,0,54,94,76,0,86,81,69,64,64
1627009620000,0,100,0,65,96,1,0,86,42,85,44,62
1627009625000,0,52,0,65,91,30,0,82,39,49,70,60
1627009630000,3,96,0,75,100,74,0,81,46,37,66,62
1627009635000,0,0,95,43,0,48,0,0,0,59,73,0
1627009640000,0,0,0,77,0,57,0,0,0,38,66,0
1627009645000,0,0,0,63,0,73,0,0,0,80,85,0
1627009650000,0,0,0,52,0,0,0,0,0,40,66,0
1627009655000,0,2,0,55,0,51,0,0,0,81,55,0
1627009660000,0,46,31,64,1,0,33,91,0,56,78,0
1627009665000,0,68,0,23,0,83,0,50,32,40,71,18
1627009670000,0,75,0,19,46,47,0,56,86,63,54,99
1627009675000,0,83,0,0,56,0,0,56,99,69,50,99
1627009680000,0,70,0,0,57,0,0,53,94,56,54,99
1627009685000,0,38,0,0,35,0,0,86,85,39,45,83
1627009690000,0,37,0,0,58,0,2,71,88,45,64,99
1627009695000,0,62,32,0,58,0,25,58,92,50,85,85
1627009700000,0,52,75,0,48,0,70,86,95,76,52,95
1627009705000,0,79,4,0,52,0,55,39,85,42,64,81
1627009710000,0,52,56,0,39,0,70,79,100,69,48,85
1627009715000,0,95,0,0,49,0,2,83,99,60,78,100
1627009720000,0,77,53,0,0,0,58,59,87,68,41,95
1627009725000,0,75,0,0,0,0,79,55,100,65,78,95
1627009730000,0,89,61,0,0,0,32,70,100,49,84,100
1627009735000,0,60,1,0,0,0,47,84,88,72,52,100
1627009740000,0,63,84,0,0,0,65,61,74,78,94,52
1627009745000,0,25,0,0,0,0,84,16,93,36,63,99
1627009750000,49,68,17,1,38,0,45,52,99,81,42,100
1627009755000,82,76,0,0,66,0,0,61,100,48,65,79
1627009760000,64,0,74,74,42,63,71,1,83,40,74,82
1627009765000,58,77,55,37,49,20,57,81,84,55,82,99
1627009770000,45,50,57,11,72,38,0,87,100,68,96,100
1627009775000,57,66,0,59,60,75,63,96,96,66,87,96
1627009780000,76,45,69,71,62,47,81,77,100,76,45,100
1627009785000,64,78,38,57,51,49,45,72,100,60,80,99
1627009790000,72,60,41,8,88,1,56,79,95,42,79,77
1627009795000,67,67,43,65,83,0,0,83,100,62,55,100
1627009800000,74,56,21,3,74,59,6,76,100,55,40,100
1627009805000,42,47,47,75,61,52,0,86,100,68,38,100
1627009810000,49,58,3,23,65,0,29,74,95,62,37,96
1627009815000,68,64,63,70,92,17,54,84,80,45,73,85
1627009820000,62,54,45,28,42,63,55,77,83,46,58,86
1627009825000,87,64,10,35,62,43,0,69,99,37,66,99
1627009830000,74,71,24,0,44,63,68,81,100,61,70,100
1627009835000,87,49,63,9,76,17,1,55,100,50,79,100
1627009840000,69,63,36,74,55,55,10,78,100,74,55,92
1627009845000,44,56,13,71,79,56,65,61,95,53,43,95
1627009850000,58,83,36,70,47,92,68,54,79,84,67,81
1627009855000,42,62,32,2,75,53,56,79,99,55,27,100
1627009860000,47,85,0,37,59,67,31,54,100,67,68,100
1627009865000,44,48,20,0,81,51,21,63,100,62,86,88
1627009870000,53,49,30,65,65,33,49,79,93,49,70,100
