"Time","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.245:9101","140.114.28.246:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101","140.114.28.247:9101"
1627019710000,0,0,0,0,0,0,0,0,0,0,0,0
1627019715000,0,0,0,0,0,0,0,0,0,0,0,0
1627019720000,0,0,0,0,0,0,0,0,0,0,0,0
1627019725000,0,0,0,0,0,0,0,0,0,0,0,0
1627019730000,0,0,0,0,0,0,0,0,0,0,0,0
1627019735000,0,0,0,0,0,0,0,0,0,0,0,0
1627019740000,0,0,0,0,0,0,0,0,0,0,0,0
1627019745000,20,0,0,0,12,0,0,0,0,0,0,0
1627019750000,0,0,0,0,0,0,0,0,0,0,0,0
1627019755000,0,0,0,0,0,0,0,0,0,0,0,0
1627019760000,0,0,0,0,0,0,0,0,0,0,0,0
1627019765000,0,0,0,0,0,0,0,0,0,0,0,0
1627019770000,0,0,0,0,0,0,0,0,0,0,0,0
1627019775000,0,0,0,0,0,0,0,0,0,0,0,0
1627019780000,14,0,0,0,55,0,0,0,0,0,0,0
1627019785000,0,0,0,0,51,0,0,0,0,0,0,0
1627019790000,30,0,0,0,82,0,0,0,0,0,0,0
1627019795000,7,0,0,0,74,0,0,0,0,0,0,0
1627019800000,52,0,0,0,50,0,0,0,0,0,0,0
1627019805000,56,0,0,0,22,0,0,0,0,0,0,0
1627019810000,0,0,0,0,44,0,0,0,0,0,0,0
1627019815000,3,0,0,0,58,0,0,0,0,0,0,0
1627019820000,55,0,0,0,26,0,0,0,0,0,0,0
1627019825000,15,0,0,0,72,0,0,0,0,0,0,0
1627019830000,69,0,0,0,1,0,0,0,0,0,0,0
1627019835000,23,0,0,0,0,0,0,0,0,0,0,0
1627019840000,56,0,0,0,56,0,0,0,0,0,0,0
1627019845000,30,0,0,0,70,0,0,0,0,0,0,0
1627019850000,0,0,0,0,0,0,0,0,0,0,0,0
1627019855000,0,0,0,0,0,0,0,0,0,0,0,0
1627019860000,0,0,12,0,12,0,12,0,0,0,0,0
1627019865000,0,0,0,0,0,3,0,2,0,0,0,0
1627019870000,0,0,0,0,0,0,0,0,0,0,0,0
1627019875000,40,0,0,0,0,0,0,0,0,0,31,12
1627019880000,30,0,0,0,0,0,0,1,0,0,78,64
1627019885000,30,0,0,0,0,0,0,0,2,85,40,71
1627019890000,31,0,89,0,93,0,92,0,58,61,98,80
1627019895000,46,0,0,0,1,0,0,2,51,57,73,52
1627019900000,2,0,4,84,0,88,30,20,91,57,38,59
1627019905000,42,0,15,85,1,68,0,85,0,0,79,44
1627019910000,41,0,37,57,22,24,24,71,73,55,52,79
1627019915000,55,0,50,91,43,14,88,90,44,71,54,50
1627019920000,33,0,81,89,56,72,23,99,33,2,71,56
1627019925000,35,0,0,51,1,34,0,51,78,54,73,98
1627019930000,30,0,51,31,62,66,12,28,85,51,91,61
1627019935000,37,0,20,86,32,89,1,67,47,1,91,49
1627019940000,32,0,70,0,35,0,63,2,46,72,54,91
1627019945000,36,0,61,29,63,37,35,0,75,53,72,50
1627019950000,51,0,72,33,66,77,51,21,58,45,72,64
1627019955000,0,0,77,90,5,84,52,0,41,83,72,48
1627019960000,31,0,62,61,6,52,40,17,77,44,65,95
1627019965000,40,0,52,36,83,54,37,57,84,65,87,53
1627019970000,0,0,0,0,4,0,57,0,0,0,46,0
1627019975000,0,0,48,0,55,0,37,0,0,0,49,0
1627019980000,0,49,0,0,74,0,0,0,0,0,44,0
1627019985000,0,42,43,0,0,0,15,0,0,0,31,0
1627019990000,0,89,43,0,70,0,74,0,0,0,36,0
1627019995000,0,38,68,0,91,0,59,0,0,0,38,0
1627020000000,0,49,19,0,41,0,50,0,0,0,45,12
1627020005000,0,0,77,0,19,0,65,0,0,0,31,0
1627020010000,0,46,53,0,29,0,11,0,0,0,0,0
1627020015000,5,31,26,0,12,0,0,0,0,0,0,0
1627020020000,35,56,47,0,16,2,45,0,0,0,0,0
1627020025000,34,31,41,0,56,0,99,0,0,0,0,0
1627020030000,34,45,63,0,50,88,65,0,0,0,0,90
1627020035000,34,39,6,0,3,89,51,0,0,0,0,0
