Log file created at: 2021/07/23 11:02:58
Running on machine: gpu4
Binary: Built with gc go1.13.15 for linux/amd64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0723 11:02:58.122972   13823 main.go:19]  "msg"="Celeste - DLT jobs scheduler"  "version"="0.0.1"
I0723 11:02:58.123891   13823 main.go:20]  "msg"="Starting service"  
I0723 11:02:58.129090   13823 placement_manager.go:65]  "msg"="Starting placement manager"  "scheduler"="default"
I0723 11:02:58.129817   13823 placement_manager.go:95]  "msg"="Started placement manager"  "nodes"={"gpu3":{},"gpu4":{},"gpu5":{}} "scheduler"="default"
I0723 11:02:58.130429   13823 jobmaster.go:82]  "msg"="Starting scheduler"  "gpuType"="default"
I0723 11:02:58.130524   13823 scheduler.go:124]  "msg"="Starting scheduler"  "scheduler"="default"
I0723 11:02:58.158384   13823 scheduler.go:432]  "msg"="Start watching mpijob"  "scheduler"="default"
I0723 11:03:04.874309   13823 jobmaster.go:155]  "msg"="Training job created"  "job"="tf2-keras-cifar10-inceptionv3-elastic-20210723-110304"
I0723 11:03:04.874506   13823 scheduler.go:135]  "msg"="Received resched event, may be blocked because of rate limit"  "blockedUntil"="2021-07-23T11:02:58.130401046+08:00" "lastResched"="2021-07-23T11:02:58.13040127+08:00" "received"="2021-07-23T11:03:04.873602757+08:00" "scheduler"="default"
I0723 11:03:04.874993   13823 scheduler.go:159]  "msg"="Started resched"  "scheduler"="default"
I0723 11:03:04.875060   13823 scheduler.go:193]  "msg"="Updating all jobs info"  "scheduler"="default"
I0723 11:03:04.877218   13823 elastic_tiresias.go:160]  "msg"="Finished scheduling"  "algorithm"="ElasticTiresias" "compactionThreshold"=4 "freeGpu"=8 "promoteKnob"=4 "queueNum"=2 "result"={"tf2-keras-cifar10-inceptionv3-elastic-20210723-110304":4} "scheduler"="default" "thresholds"=
I0723 11:03:04.877582   13823 scheduler.go:384]  "msg"="Trying to delete multiple training jobs"  "jobs"=[] "scheduler"="default"
I0723 11:03:04.877857   13823 scheduler.go:342]  "msg"="Trying to scale multiple training jobs"  "jobs"=[] "scheduler"="default"
I0723 11:03:04.878158   13823 scheduler.go:292]  "msg"="Trying to start multiple training jobs"  "jobs"=["tf2-keras-cifar10-inceptionv3-elastic-20210723-110304"] "scheduler"="default"
I0723 11:03:04.898873   13823 scheduler.go:342]  "msg"="Trying to scale multiple training jobs"  "jobs"=[] "scheduler"="default"
I0723 11:03:04.900772   13823 placement_manager.go:166]  "msg"="Started job placements adjustment"  "scheduler"="default"
